Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2018,,,,,,,,,,,204,315,74,1634
2017,,,,,,,,,,,56,1455,56,1696
2016,,,,,,,,,,,15,4120,15,1844
2015,,,,,,,,,,,18,4180,14,1849
2014,,,,,,,,,,,4,6270,20,1808
2013,,,,,,,,,,,25,2890,19,1800
2012,,,,,,,,,,,5,7150,7,1883
2011,,,,,,,,,,,3,8210,5,1913
2010,,,,,,,,,,,3,9150,3,1914
2009,,,,,,,,,,,3,10410,4,1950
2009,,,,,,,,,,,3,10410,4,1950
2008,,,,,,,,,,,2,5320,5,1871
2007,,,,,,,,,,,3,4300,4,1912
2006,1115,5,,,,,,,,,5,4125,6,1918
2005,,,,,,,,,,,8,3425,5,1897
2004,1062,5,,,,,,,,,1,4630,1,1937
2003,500,43,,,,,,,,,7,3950,1,1936
2002,659,21,,,,,,,,,2,5630,2,1950
2001,219,170,,,,,,,,,10,2895,,
2000,220,166,,,,,,,,,13,2630,,
1999,86,539,73,1779,60,1741,147,1568,54,1661,27,1811,,
1998,106,452,89,1744,62,1730,148,1574,82,1595,7,3260,,
1997,107,445,84,1762,76,1721,137,1604,70,1621,18,2221,,
1996,112,436,104,1732,102,1673,141,1613,60,1657,11,2535,,
1995,177,,129,1706,112,1662,143,1611,83,1605,10,2360,,
1994,171,,154,1647,143,1609,145,1613,108,1563,75,857,,
1993,189,,175,1601,156,1575,,,,,117,563,,
1992,238,,203,1562,174,1558,,,140,1454,285,132,,
1991,242,,,,,,,,,,389,76,,
1990,741,,,,,,,,,,510,30,,
1989,823,,,,,,,,,,739,,,
