Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Miami R32,L vs Eala,24.2%,36.4%,54.2%,24.3%,45.9%,64.3%,47.1%,50.0%,0.0%,25.9%,25.9%,40.0%,36.4%,31.3%,33.3%,-21
2026 Miami R64,W vs Swiatek,31.8%,40.9%,51.8%,35.3%,49.0%,60.6%,31.8%,44.8%,100.0%,30.3%,33.3%,39.1%,31.3%,29.4%,66.7%,27
2026 Miami R128,W vs Gracheva,22.4%,34.3%,43.1%,26.8%,36.6%,43.3%,50.0%,33.3%,33.3%,16.0%,32.0%,42.9%,16.7%,7.7%,0.0%,-57
2026 Indian Wells R128,L vs Krueger,21.8%,32.7%,37.5%,27.0%,40.5%,44.4%,50.0%,58.8%,40.0%,13.3%,20.0%,23.1%,20.0%,50.0%,33.3%,9
2026 Dubai R16,L vs Tauson,22.1%,24.7%,39.3%,27.5%,30.0%,34.5%,45.0%,50.0%,60.0%,18.2%,21.2%,44.4%,0.0%,55.6%,100.0%,-35
2026 Australian Open R32,L vs Muchova,20.4%,22.4%,31.4%,20.7%,24.1%,26.1%,35.3%,58.3%,50.0%,25.0%,25.0%,41.7%,0.0%,66.7%,50.0%,111
2026 Australian Open R128,W vs Navarro,34.6%,44.9%,48.9%,47.6%,59.5%,63.6%,33.3%,33.3%,0.0%,21.9%,31.3%,36.0%,14.3%,22.2%,-,30
2026 Hobart QF,L vs Jovic,20.2%,27.7%,41.9%,22.4%,31.0%,46.7%,42.3%,59.4%,60.0%,17.1%,22.9%,34.5%,5.9%,72.2%,66.7%,-70
2026 Auckland QF,L vs Eala,22.6%,33.9%,32.6%,27.8%,38.9%,30.8%,66.7%,50.0%,40.0%,16.7%,29.2%,35.0%,50.0%,41.7%,0.0%,-11
2025 Ningbo R32,L vs Bencic,25.0%,30.4%,34.1%,32.4%,41.2%,43.5%,43.8%,27.8%,0.0%,14.3%,14.3%,22.2%,36.4%,50.0%,0.0%,-49
2025 Cincinnati R16,L vs Kudermetova,22.1%,29.4%,43.8%,27.0%,37.8%,48.1%,41.2%,50.0%,75.0%,19.2%,23.1%,38.1%,16.7%,35.7%,-,67
2025 Cincinnati R32,W vs Pegula,28.1%,38.5%,46.0%,33.9%,50.0%,61.0%,28.6%,58.8%,100.0%,21.4%,21.4%,18.2%,7.7%,40.0%,50.0%,84
2025 Washington R16,L vs Kalinskaya,28.8%,36.4%,33.3%,37.1%,45.7%,40.9%,47.4%,43.8%,50.0%,20.7%,27.6%,26.1%,14.3%,73.3%,80.0%,-26
2025 Strasbourg QF,L vs Rybakina,24.7%,35.6%,50.9%,35.1%,51.4%,54.2%,26.7%,54.5%,50.0%,14.7%,20.6%,48.3%,12.5%,66.7%,100.0%,-37
2025 Strasbourg R32,W vs Krejcikova,35.3%,51.0%,51.5%,54.8%,61.3%,42.9%,61.5%,44.4%,0.0%,5.0%,35.0%,57.9%,9.1%,22.2%,-,-104
2025 BJK Cup Qualifiers RR,W vs Golubic,25.0%,38.3%,60.0%,32.4%,54.1%,72.0%,47.1%,70.0%,100.0%,13.0%,13.0%,45.0%,0.0%,54.5%,0.0%,-104
2025 Miami QF,L vs Paolini,24.4%,44.4%,39.4%,32.0%,56.0%,47.1%,38.5%,66.7%,100.0%,15.8%,31.6%,31.3%,20.0%,55.6%,33.3%,-43
2025 Miami R16,W vs Gauff,23.1%,29.2%,50.0%,24.4%,31.7%,54.8%,47.6%,50.0%,0.0%,20.8%,25.0%,42.1%,22.2%,40.0%,0.0%,-104
2025 Miami R32,W vs Fruhvirtova,17.8%,28.8%,57.1%,26.3%,44.7%,50.0%,31.3%,59.1%,57.1%,9.7%,12.9%,64.3%,6.3%,60.0%,50.0%,-20
2025 Miami R64,W vs Alexandrova,31.8%,42.4%,53.3%,36.6%,48.8%,53.8%,40.0%,65.4%,66.7%,24.0%,32.0%,52.6%,8.3%,61.5%,100.0%,-104
Last 52 Weeks (16 matches),,25.7%,34.9%,44.0%,31.8%,43.6%,49.2%,42.8%,49.7%,52.6%,18.8%,24.9%,37.4%,16.7%,45.3%,53.1%,-2
Career (82 matches),,23.1%,31.8%,45.3%,27.5%,38.6%,49.1%,45.1%,52.5%,57.1%,17.6%,23.0%,39.5%,19.8%,47.7%,52.7%,-14
