Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,328,165,163,50.3%,361-380,48.7%,3444-3502,49.6%,48-40,54.5%,305,66.5%,32.4%,4.5%,3.7%,62.8%,63.7%,46.8%,57.4%,42.3%,49.8%,0.99
Clay,96,47,49,49.0%,114-116,49.6%,1062-1074,49.7%,12-8,60.0%,92,65.3%,33.8%,3.4%,3.2%,63.6%,62.5%,46.8%,56.8%,43.2%,50.1%,1.00
Grass,45,18,27,40.0%,47-58,44.8%,500-544,47.9%,11-5,68.8%,44,71.6%,23.5%,4.6%,4.2%,62.5%,66.2%,46.6%,58.9%,38.6%,48.9%,0.94
Grand Slams,70,28,42,40.0%,73-91,44.5%,724-803,47.4%,8-5,61.5%,68,65.8%,27.4%,3.7%,4.1%,63.0%,63.3%,47.1%,57.3%,40.9%,49.0%,0.96
Premiers,89,34,55,38.2%,84-124,40.4%,908-1049,46.4%,14-13,51.9%,88,64.9%,27.8%,4.1%,3.5%,62.8%,62.9%,44.9%,56.2%,40.3%,48.3%,0.92
Internationals,199,114,85,57.3%,248-206,54.6%,2218-2064,51.8%,35-21,62.5%,186,68.8%,35.0%,4.4%,3.9%,63.3%,64.8%,47.4%,58.4%,43.4%,50.8%,1.04
Finals,8,3,5,37.5%,9-11,45.0%,80-94,46.0%,0-0,-,6,70.1%,29.2%,4.3%,3.2%,60.6%,69.0%,42.5%,58.6%,41.3%,50.1%,1.00
Semi-finals,18,8,10,44.4%,16-23,41.0%,181-200,47.5%,4-3,57.1%,16,72.8%,24.5%,3.9%,3.2%,61.4%,64.5%,49.5%,58.7%,38.8%,48.9%,0.94
Quarter-finals,40,16,24,40.0%,39-54,41.9%,414-472,46.7%,9-5,64.3%,39,65.4%,27.4%,4.3%,3.8%,62.6%,62.9%,47.1%,57.0%,41.0%,48.9%,0.95
vs Righties,426,212,214,49.8%,473-493,49.0%,4516-4610,49.5%,65-47,58.0%,397,66.7%,32.0%,4.3%,3.5%,62.9%,63.7%,46.8%,57.4%,42.2%,49.8%,0.99
vs Lefties,41,17,24,41.5%,47-57,45.2%,464-484,48.9%,6-6,50.0%,41,67.9%,29.3%,3.7%,4.5%,62.6%,64.2%,46.8%,57.7%,41.3%,49.5%,0.98
vs Top 10,39,8,31,20.5%,21-65,24.4%,311-474,39.6%,4-4,50.0%,37,61.0%,19.5%,2.9%,2.6%,63.0%,60.8%,43.5%,54.4%,36.6%,45.6%,0.80
