Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2022-11-21),1122,9,,,,,,,,,,,,
2020,520,77,,,,,,,,,1151,14,,
2019,499,75,,,,,,,,,,,,
2018,604,25,,,,,,,,,812,13,,
2018,604,25,,,,,,,,,812,13,,
2017,371,109,,,,,,,,,495,90,,
2016,282,163,,,,,,,,,357,145,,
2015,566,44,,,,,,,,,509,78,,
2014,556,41,,,,,,,,,321,152,,
2013,566,54,,,,,,,,,444,115,,
2012,629,38,,,,,,,,,453,98,,
2011,1034,10,,,,,,,,,879,22,,
2010,1084,4,,,,,,,,,,,,
