Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Curitiba CH F,W vs Boscardin Dias,72.2%,65.4%,1.4%,0/1,2.43,2.0%,70.5%,58.1%,0.0%,2.36,0.0%,87.5%,76.2%,4.2%,2.60,7.1%
2024 Antofagasta CH F,L vs Cerundolo,86.3%,43.9%,5.3%,1/4,2.22,0.0%,83.7%,46.3%,8.2%,2.13,0.0%,95.5%,40.5%,2.3%,2.40,0.0%
Career (2 matches),,80.2%,52.2%,3.6%,16.7%,2.31,0.9%,77.4%,51.4%,4.3%,2.23,0.0%,92.6%,52.4%,2.9%,2.48,2.6%
