Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),101,621,119,1678,227,1489,88,1668,,,,,,
2025,144,428,160,1620,298,1415,119,1615,,,,,,
2024,233,249,312,1435,331,1364,266,1426,,,669,69,,
2023,471,88,403,1264,367,1289,372,1258,,,,,,
2022,746,28,,,,,,,,,,,,
2021,1981,1,,,,,,,,,,,,
2020,,,,,,,,,,,1984,2,,
2019,,,,,,,,,,,1915,2,,
