Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2002 Indian Wells SF,L vs Henman,24.1%,32.8%,38.1%,30.7%,27.5%,37.5%,34.5%,37.0%,43.8%,50.0%,33.3%,18.8%,25.0%,46.2%,65
2001 Australian Open QF,L vs Agassi,29.1%,40.8%,36.8%,32.0%,37.3%,46.3%,28.6%,41.8%,37.9%,42.1%,42.9%,16.1%,35.5%,50.0%,35
2000 US Open SF,L vs Safin,28.6%,40.8%,50.8%,39.3%,40.4%,56.1%,58.8%,58.8%,36.4%,48.6%,0.0%,14.7%,23.5%,41.4%,16
1999 US Open F,L vs Agassi,32.7%,54.7%,51.2%,39.7%,45.3%,68.6%,46.8%,57.7%,56.3%,44.4%,50.0%,20.4%,46.9%,56.4%,78
1999 US Open QF,W vs Dosedel,51.3%,69.9%,51.0%,59.5%,63.9%,83.1%,60.0%,74.9%,45.0%,37.2%,-,19.2%,38.5%,38.1%,65
1999 US Open SF,W vs Pioline,41.0%,50.6%,51.1%,45.3%,55.6%,66.7%,54.2%,62.2%,36.4%,43.8%,40.0%,16.0%,24.0%,47.6%,34
1998 Stockholm F,W vs Johansson,32.1%,50.0%,50.0%,40.7%,46.0%,70.0%,59.3%,60.4%,41.7%,26.9%,66.7%,14.8%,25.9%,39.1%,15
1998 Paris SF,L vs Sampras,37.3%,49.4%,44.0%,41.7%,52.7%,63.6%,46.2%,59.3%,44.0%,53.3%,25.0%,7.7%,23.1%,41.7%,-39
1998 US Open R128,W vs Tarango,43.0%,62.4%,58.8%,50.2%,59.4%,76.6%,61.5%,69.8%,58.6%,45.7%,100.0%,7.4%,33.3%,56.0%,-42
1996 Canada SF,L vs Ferreira,29.5%,41.1%,47.6%,34.9%,43.8%,60.4%,51.9%,54.6%,68.2%,50.0%,33.3%,16.3%,23.3%,44.4%,46
1996 Wimbledon SF,L vs Washington,34.8%,53.0%,49.5%,41.1%,48.5%,66.0%,49.1%,59.6%,26.7%,32.8%,40.0%,20.6%,44.4%,50.0%,75
1996 Wimbledon QF,W vs Henman,37.6%,56.8%,53.6%,47.5%,40.7%,65.4%,58.3%,56.0%,38.7%,34.0%,20.0%,40.0%,51.4%,42.9%,143
1996 Memphis F,L vs Sampras,32.0%,42.7%,47.9%,36.7%,45.9%,64.9%,50.0%,55.4%,35.3%,85.0%,50.0%,20.0%,22.9%,46.4%,40
1995 Grand Slam Cup F,L vs Ivanisevic,43.0%,61.3%,53.1%,50.2%,62.7%,81.4%,63.6%,74.1%,42.9%,54.8%,50.0%,10.0%,30.0%,44.4%,-21
1995 Grand Slam Cup SF,W vs Becker,36.9%,47.0%,48.3%,41.9%,59.0%,71.8%,59.4%,68.5%,36.6%,29.7%,100.0%,14.1%,21.9%,41.8%,21
1994 US Open SF,L vs Agassi,40.2%,49.1%,35.0%,45.4%,55.9%,67.6%,46.7%,64.4%,32.1%,20.0%,33.3%,18.9%,24.3%,23.3%,57
1994 Wimbledon SF,L vs Sampras,37.4%,51.3%,43.3%,43.5%,50.9%,64.9%,53.6%,63.2%,17.4%,29.4%,0.0%,26.4%,41.5%,35.9%,51
1994 Memphis F,W vs Gilbert,37.9%,46.6%,54.3%,40.5%,56.8%,64.9%,37.5%,60.8%,60.0%,54.5%,50.0%,5.0%,15.0%,68.4%,-79
1994 Australian Open F,L vs Sampras,26.4%,37.3%,46.8%,31.5%,31.6%,47.4%,41.0%,41.6%,27.3%,54.3%,33.3%,22.0%,28.0%,53.8%,33
1994 Australian Open SF,W vs Edberg,32.6%,45.8%,46.9%,39.4%,37.8%,51.2%,51.0%,49.6%,55.9%,54.2%,0.0%,26.2%,39.3%,42.2%,-55
Career (24 matches),,34.5%,49.0%,47.3%,41.1%,47.1%,63.6%,49.7%,58.0%,40.8%,43.5%,38.3%,18.2%,31.3%,44.8%,62
