Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2002 Indian Wells SF,L vs Henman,80.0%,39.6%,6.7%,3/1,1.94,76.2%,78.4%,34.5%,8.1%,1.71,82.8%,90.5%,47.4%,4.8%,2.46,61.5%
2001 Australian Open QF,L vs Agassi,64.6%,41.5%,4.9%,2/2,2.38,8.8%,59.3%,18.8%,5.6%,2.33,11.9%,80.8%,76.2%,3.8%,2.42,3.8%
2000 US Open SF,L vs Safin,63.0%,50.7%,3.4%,2/2,1.98,3.2%,51.6%,39.4%,3.1%,1.71,5.9%,80.8%,59.5%,3.8%,2.29,0.0%
1999 US Open F,L vs Agassi,57.2%,45.1%,8.8%,9/5,1.88,11.6%,56.7%,45.5%,11.3%,1.70,21.3%,72.0%,44.4%,6.0%,2.09,0.0%
1999 US Open QF,W vs Dosedel,69.6%,43.7%,7.2%,7/2,2.13,7.8%,68.5%,41.0%,7.9%,1.65,13.3%,76.5%,50.0%,5.9%,2.81,0.0%
1999 US Open SF,W vs Pioline,71.4%,64.0%,10.0%,3/4,1.92,42.2%,68.6%,58.3%,11.4%,1.81,41.7%,76.5%,69.2%,8.8%,2.05,42.9%
1998 Stockholm F,W vs Johansson,61.6%,69.8%,5.8%,0/5,2.37,6.4%,47.6%,65.0%,7.1%,1.17,12.5%,86.8%,72.7%,5.3%,2.79,0.0%
1998 Paris SF,L vs Sampras,60.3%,39.0%,11.8%,4/4,1.65,52.0%,52.6%,50.0%,15.8%,1.46,50.0%,75.0%,28.6%,7.1%,1.85,54.2%
1998 US Open R128,W vs Tarango,69.4%,45.6%,5.1%,2/3,1.77,5.9%,70.7%,51.2%,8.6%,1.60,11.5%,77.1%,37.0%,0.0%,1.96,0.0%
1996 Canada SF,L vs Ferreira,58.3%,50.0%,2.1%,2/0,1.67,12.7%,56.9%,48.3%,3.9%,1.69,25.9%,65.9%,51.9%,0.0%,1.65,2.8%
1996 Wimbledon SF,L vs Washington,59.7%,49.5%,10.8%,12/8,1.58,5.0%,64.0%,46.5%,9.0%,1.51,8.0%,75.5%,55.0%,18.9%,1.66,2.0%
1996 Wimbledon QF,W vs Henman,61.5%,54.2%,6.0%,4/3,1.47,10.1%,58.0%,52.5%,4.3%,1.35,14.6%,84.2%,56.3%,10.5%,1.88,0.0%
1996 Memphis F,L vs Sampras,55.4%,29.0%,7.1%,3/1,1.77,66.7%,46.3%,26.3%,9.8%,1.60,50.0%,80.0%,33.3%,0.0%,1.89,78.6%
1995 Grand Slam Cup F,L vs Ivanisevic,34.0%,36.4%,4.1%,2/2,1.85,22.9%,30.5%,27.8%,5.1%,1.50,42.9%,51.7%,46.7%,3.4%,2.13,7.4%
1995 Grand Slam Cup SF,W vs Becker,53.2%,54.7%,6.4%,5/4,1.82,16.1%,44.6%,72.4%,7.7%,1.56,25.0%,74.2%,43.5%,6.5%,1.96,10.9%
1994 US Open SF,L vs Agassi,62.8%,37.3%,5.3%,2/3,1.82,5.0%,67.7%,31.0%,6.5%,1.59,10.0%,60.7%,52.9%,3.6%,2.05,0.0%
1994 Wimbledon SF,L vs Sampras,53.8%,50.0%,19.3%,11/12,1.52,18.2%,43.9%,51.7%,10.6%,1.43,40.7%,74.5%,48.6%,34.0%,1.59,2.6%
1994 Memphis F,W vs Gilbert,67.6%,45.7%,8.8%,2/4,1.96,31.4%,67.6%,32.0%,10.8%,1.78,18.8%,91.3%,61.9%,8.7%,2.11,42.1%
1994 Australian Open F,L vs Sampras,57.8%,44.4%,7.3%,5/3,1.72,29.3%,50.0%,41.4%,13.8%,1.46,29.7%,79.1%,47.1%,0.0%,1.97,28.9%
1994 Australian Open SF,W vs Edberg,66.2%,54.2%,8.6%,8/9,2.03,58.3%,67.9%,59.2%,6.3%,1.71,47.1%,75.3%,47.3%,13.7%,2.40,71.1%
Career (24 matches),,61.6%,49.1%,7.1%,53.1%,1.85,24.7%,58.3%,45.9%,7.4%,1.66,29.5%,76.9%,53.0%,7.8%,2.04,19.5%
