Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,8,3,5,37.5%,9-12,42.9%,100-115,46.5%,2-3,40.0%,8,65.7%,27.6%,2.2%,4.0%,73.8%,60.5%,47.1%,57.0%,40.7%,48.9%,0.95,R64 (5x)
2025,31,14,17,45.2%,34-38,47.2%,318-353,47.4%,4-5,44.4%,28,62.6%,33.4%,1.2%,4.5%,73.2%,59.8%,43.8%,55.5%,43.4%,49.3%,0.98,QF (3x)
2024,37,19,18,51.4%,45-40,52.9%,423-413,50.6%,6-5,54.5%,35,59.1%,43.0%,0.9%,4.3%,73.3%,56.7%,45.2%,53.6%,47.2%,50.4%,1.02,F (Hua Hin 2)
2023,26,13,13,50.0%,31-31,50.0%,299-294,50.4%,3-3,50.0%,25,69.1%,32.4%,0.7%,3.7%,75.3%,61.5%,45.5%,57.5%,42.2%,50.0%,0.99,F (Warsaw)
2022,11,3,8,27.3%,6-17,26.1%,91-125,42.1%,1-2,33.3%,11,59.3%,26.6%,0.8%,5.9%,70.1%,58.5%,43.3%,53.9%,38.3%,46.5%,0.83,QF (Stuttgart)
2021,22,8,14,36.4%,19-28,40.4%,204-239,46.0%,3-1,75.0%,20,59.8%,31.9%,0.9%,4.6%,70.2%,57.2%,48.3%,54.6%,42.0%,48.5%,0.92,QF (Bad Homburg)
2020,21,13,8,61.9%,27-21,56.3%,225-197,53.3%,0-2,0.0%,21,67.8%,40.7%,1.4%,5.4%,68.7%,62.0%,47.9%,57.6%,45.4%,51.3%,1.07,QF (2x)
2019,36,15,21,41.7%,35-48,42.2%,371-417,47.1%,1-4,20.0%,36,64.4%,30.2%,1.6%,5.1%,68.5%,60.0%,47.6%,56.1%,42.1%,49.0%,0.96,SF (Bucharest)
2018,19,8,11,42.1%,19-22,46.3%,194-193,50.1%,1-3,25.0%,19,62.6%,38.9%,1.5%,5.5%,65.9%,59.3%,46.7%,55.0%,45.0%,50.0%,1.00,QF (2x)
2017,25,13,12,52.0%,33-28,54.1%,302-294,50.7%,5-7,41.7%,25,59.9%,41.8%,1.2%,5.5%,68.8%,58.9%,43.1%,53.9%,46.6%,50.3%,1.01,W (Stuttgart)
2016,48,29,19,60.4%,61-49,55.5%,526-490,51.8%,3-5,37.5%,48,65.3%,39.5%,1.3%,3.9%,70.5%,59.9%,47.8%,56.4%,45.7%,50.9%,1.05,W (Bastad)
2015,12,5,7,41.7%,12-15,44.4%,119-125,48.8%,1-2,33.3%,8,54.2%,51.4%,1.1%,3.9%,71.3%,55.3%,48.1%,53.2%,47.0%,50.0%,1.00,QF (2x)
2014,3,1,2,33.3%,4-4,50.0%,44-38,53.7%,0-1,0.0%,3,-,-,2.9%,7.1%,63.2%,60.5%,44.8%,54.7%,49.0%,52.3%,1.08,R16 (Bastad)
2010,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,-,-,0.0%,6.7%,73.3%,33.3%,33.3%,33.3%,47.5%,41.3%,0.71,R32 (Bastad)
Career,300,144,156,48.0%,335-355,48.6%,3221-3305,49.4%,30-43,41.1%,288,63.1%,36.7%,1.2%,4.7%,70.7%,59.3%,46.1%,55.4%,44.4%,49.9%,1.00,
