Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,27,11,16,40.7%,29-32,47.5%,288-302,48.8%,8-3,72.7%,27,56.7%,40.2%,1.7%,5.0%,69.9%,57.1%,45.1%,53.5%,45.9%,49.7%,0.99,QF (3x)
2024,63,35,28,55.6%,81-60,57.4%,712-602,54.2%,6-8,42.9%,5,58.9%,21.8%,1.6%,4.0%,73.8%,57.2%,42.9%,53.5%,39.1%,46.4%,0.84,W (W75+H Granby)
2023,53,29,24,54.7%,66-55,54.5%,618-535,53.6%,8-11,42.1%,0,,,,,,,,,,,,F (W25 Spring TX)
2022,32,14,18,43.8%,34-42,44.7%,351-368,48.8%,4-2,66.7%,1,60.0%,10.0%,7.0%,2.8%,62.0%,63.6%,37.0%,53.5%,24.5%,41.1%,0.53,SF (2x)
2021,28,14,14,50.0%,33-31,51.6%,308-299,50.7%,4-5,44.4%,3,63.3%,40.6%,1.2%,4.2%,66.3%,64.5%,42.9%,57.2%,44.4%,50.4%,1.04,SF (W25 Florence SC)
2020,6,2,4,33.3%,4-8,33.3%,45-63,41.7%,1-0,100.0%,1,28.6%,12.5%,0.0%,6.4%,66.0%,48.4%,25.0%,40.4%,35.9%,37.8%,0.60,R16 (2x)
2019,20,9,11,45.0%,22-23,48.9%,198-207,48.9%,5-0,100.0%,0,,,,,,,,,,,,SF (W25 Orlando FL)
2018,34,18,16,52.9%,40-36,52.6%,363-331,52.3%,4-3,57.1%,0,,,,,,,,,,,,W (Fort Worth TX $25K)
2017,34,18,16,52.9%,40-37,51.9%,360-357,50.2%,3-6,33.3%,0,,,,,,,,,,,,SF (Focsani $15K)
2016,10,5,5,50.0%,11-12,47.8%,97-99,49.5%,0-0,-,0,,,,,,,,,,,,SF (Bol $10K)
2015,3,1,2,33.3%,3-5,37.5%,31-36,46.3%,0-0,-,0,,,,,,,,,,,,R16 (Hilton Head Island SC $10K)
Career,310,156,154,50.3%,363-341,51.6%,3371-3199,51.3%,43-38,53.1%,37,57.1%,36.3%,1.8%,4.8%,70.0%,57.6%,44.0%,53.5%,44.2%,48.8%,0.95,
