Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Chennai CH R32,W vs Piros,53% (10/19),29% (2/7),2/3,1/2,86% (6/7),3/3,0/0,83% (5/6),40% (2/5)
2022 Barletta CH R16,L vs Borges,47% (7/15),75% (3/4),0/0,0/0,56% (5/9),1/3,1/2,40% (2/5),20% (1/5)
2025 (1 matches),,52.6%,28.6%,66.7%,50.0%,85.7%,100.0%,-,83.3%,40.0%
2022 (1 matches),,46.7%,75.0%,-,-,55.6%,33.3%,50.0%,40.0%,20.0%
Career (2 matches),,50.0%,45.5%,66.7%,50.0%,68.8%,66.7%,50.0%,63.6%,30.0%
