Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,13,8,5,61.5%,16-11,59.3%,132-105,55.7%,1-0,100.0%,13,74.8%,35.8%,4.4%,3.2%,66.8%,66.5%,51.9%,61.7%,44.0%,52.8%,1.15,F (W75 Murska Sobota)
2025,18,15,3,83.3%,33-10,76.7%,242-159,60.3%,5-1,83.3%,18,84.0%,41.7%,4.6%,6.2%,62.0%,71.0%,54.6%,64.8%,46.1%,55.7%,1.31,W (2x)
2024,10,5,5,50.0%,11-10,52.4%,100-95,51.3%,1-2,33.3%,7,57.8%,41.8%,2.1%,7.0%,56.9%,62.7%,43.2%,54.3%,46.7%,50.3%,1.02,SF (Charleston 125)
2023,48,39,9,81.3%,81-25,76.4%,574-385,59.9%,8-2,80.0%,13,69.8%,47.3%,3.1%,3.3%,63.9%,63.3%,51.7%,59.1%,48.2%,53.6%,1.18,W (2x)
2022,22,14,8,63.6%,29-16,64.4%,243-179,57.6%,0-3,0.0%,7,67.6%,36.4%,3.9%,3.3%,59.3%,63.6%,49.7%,58.0%,43.9%,50.4%,1.05,W (W60 Altenkirchen)
2021,24,13,11,54.2%,29-27,51.8%,267-250,51.6%,0-4,0.0%,11,64.1%,33.3%,1.3%,4.0%,61.2%,62.5%,46.2%,56.2%,42.8%,49.4%,0.98,F (W100 Landisville PA)
2020,7,3,4,42.9%,7-9,43.8%,69-75,47.9%,0-0,-,0,,,,,,,,,,,,SF (W80 Tyler TX)
2019,34,21,13,61.8%,46-29,61.3%,365-312,53.9%,4-1,80.0%,1,66.7%,25.0%,4.0%,4.0%,58.7%,63.6%,41.9%,54.7%,39.1%,46.3%,0.86,W (W25 Yokohama)
2018,73,54,19,74.0%,116-44,72.5%,856-561,60.4%,6-5,54.5%,0,,,,,,,,,,,,W (4x)
2017,11,5,6,45.5%,12-11,52.2%,111-108,50.7%,2-1,66.7%,0,,,,,,,,,,,,SF (Stuttgart Stammheim $15K)
2016,32,22,10,68.8%,46-24,65.7%,358-271,56.9%,3-4,42.9%,0,,,,,,,,,,,,W (Sharm El Sheikh $10K)
2015,37,26,11,70.3%,55-31,64.0%,439-347,55.9%,4-4,50.0%,0,,,,,,,,,,,,W (2x)
2014,3,0,3,0.0%,0-6,0.0%,17-36,32.1%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2013,14,8,6,57.1%,19-14,57.6%,150-121,55.4%,0-1,0.0%,0,,,,,,,,,,,,F (Maaseik 10K)
Career,346,233,113,67.3%,500-267,65.2%,3923-3004,56.6%,34-28,54.8%,70,72.2%,39.5%,3.4%,4.5%,62.2%,65.8%,50.3%,59.9%,45.3%,52.5%,1.13,
