Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-08-12),1082,13,,,,,,,,,1153,20,,
2023,1065,14,,,,,,,,,,,,
2021,761,40,,,,,,,,,,,,
2020,593,60,,,,,,,,,381,194,,
2019,608,49,,,,,,,,,435,143,,
2016,556,49,,,,,,,,,411,118,,
2015,431,72,,,,,,,,,397,120,,
2014,442,65,,,,,,,,,518,67,,
2013,643,43,,,,,,,,,416,127,,
2012,566,47,,,,,,,,,375,133,,
2011,589,48,,,,,,,,,491,93,,
2010,591,43,,,,,,,,,568,60,,
2009,892,12,,,,,,,,,,,,
2008,918,8,,,,,,,,,,,,
