Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Iasi F,L vs Begu,12.5%,12.5%,40.4%,12.8%,12.8%,44.1%,31.6%,60.0%,75.0%,13.3%,13.3%,30.8%,40.0%,90.0%,100.0%,17
2025 Mumbai F,W vs Sawangkaew,12.9%,14.5%,48.1%,20.7%,24.1%,43.5%,12.5%,38.5%,0.0%,33.3%,33.3%,75.0%,0.0%,40.0%,0.0%,169
2023 Bad Homburg R16,L vs Swiatek,17.9%,23.1%,40.0%,21.7%,30.4%,55.6%,36.4%,66.7%,100.0%,14.3%,14.3%,16.7%,0.0%,55.6%,0.0%,25
2023 Roland Garros R128,L vs Errani,14.0%,30.0%,50.6%,17.6%,41.2%,50.0%,34.6%,40.0%,60.0%,11.9%,21.4%,51.4%,36.8%,21.7%,0.0%,-1
2023 Charleston R64,L vs Fruhvirtova,9.7%,19.4%,39.0%,5.1%,20.5%,48.6%,28.6%,33.3%,60.0%,18.5%,22.2%,22.7%,21.4%,15.4%,-,56
2023 Miami R128,L vs Muchova,18.4%,28.9%,26.7%,17.6%,29.4%,21.4%,0.0%,54.5%,0.0%,20.0%,30.0%,31.3%,27.3%,77.8%,50.0%,-46
2022 BJK Cup Finals F,W vs Hunter,19.8%,22.8%,50.0%,27.5%,31.9%,48.0%,42.4%,52.8%,66.7%,3.7%,3.7%,53.8%,60.0%,52.9%,100.0%,-83
2022 BJK Cup Finals RR,W vs Cocciaretto,20.0%,27.3%,45.2%,25.0%,36.1%,46.3%,38.7%,43.9%,40.0%,11.8%,11.8%,43.3%,33.3%,31.8%,100.0%,2
2022 Guadalajara R64,L vs Andreescu,29.6%,31.5%,31.4%,28.6%,28.6%,30.0%,42.9%,42.9%,66.7%,34.8%,39.1%,33.3%,63.6%,25.0%,0.0%,35
2022 Toronto R16,L vs Halep,20.0%,28.6%,44.2%,22.4%,32.7%,47.4%,22.7%,48.1%,100.0%,17.6%,23.5%,35.7%,33.3%,62.5%,33.3%,54
2022 Roland Garros R32,W vs Azarenka,10.9%,20.2%,55.5%,12.8%,25.6%,60.3%,10.8%,36.6%,37.5%,8.7%,13.0%,47.6%,35.3%,6.9%,0.0%,-28
2022 Madrid QF,W vs Kalinina,31.1%,41.0%,42.5%,35.0%,45.0%,46.2%,55.0%,35.0%,0.0%,26.3%,36.8%,35.7%,66.7%,61.5%,100.0%,11
2022 Doha R16,L vs Sabalenka,25.0%,30.0%,20.0%,31.0%,35.7%,17.2%,36.4%,60.0%,83.3%,11.1%,16.7%,25.0%,37.5%,90.0%,100.0%,-104
2022 St Petersburg R32,L vs Kontaveit,26.2%,36.9%,47.5%,30.0%,47.5%,53.6%,18.8%,79.2%,100.0%,24.4%,29.3%,41.9%,10.0%,28.6%,20.0%,-22
2021 BJK Cup Finals RR,L vs Kasatkina,6.9%,15.5%,43.4%,10.8%,21.6%,39.4%,30.0%,64.7%,100.0%,0.0%,5.0%,50.0%,0.0%,92.3%,100.0%,-119
2021 US Open R128,W vs Bucsa,31.8%,39.4%,37.8%,48.6%,60.0%,44.4%,25.0%,46.7%,66.7%,12.9%,16.1%,33.3%,16.7%,42.1%,50.0%,-104
2021 Cincinnati F,L vs Barty,16.1%,25.8%,38.8%,21.1%,31.6%,33.3%,20.0%,50.0%,66.7%,9.5%,19.0%,47.4%,0.0%,58.3%,40.0%,-23
2021 Madrid R64,W vs Svitolina,13.7%,21.0%,49.0%,11.4%,21.5%,57.1%,37.8%,50.0%,58.3%,20.0%,22.5%,31.3%,35.3%,47.8%,100.0%,30
2021 Dubai SF,L vs Krejcikova,20.6%,27.0%,46.7%,23.8%,33.3%,50.0%,19.0%,19.0%,20.0%,18.8%,18.8%,38.5%,57.1%,33.3%,0.0%,46
2021 Adelaide SF,L vs Swiatek,21.1%,33.3%,46.3%,31.0%,51.7%,70.0%,7.7%,68.8%,100.0%,12.5%,16.7%,23.8%,25.0%,50.0%,50.0%,5
Last 52 Weeks (1 matches),,12.5%,12.5%,40.4%,12.8%,12.8%,44.1%,31.6%,60.0%,75.0%,13.3%,13.3%,30.8%,40.0%,90.0%,100.0%,17
Career (38 matches),,19.1%,26.4%,46.6%,22.7%,32.5%,49.9%,30.3%,52.8%,62.7%,15.4%,19.0%,41.0%,37.4%,46.8%,56.6%,21
