Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,14,5,9,35.7%,2,1,1,50.0%,2017,2025,R64,13,0.94,4.5%,4.6%,64.1%,63.8%,45.7%,57.3%,40.1%,54.7%,47.5%
Roland Garros,8,Clay,16,8,8,50.0%,3,1,2,33.3%,2017,2025,R16,12,0.99,1.8%,3.8%,65.8%,60.0%,44.1%,54.6%,44.9%,56.5%,47.4%
Wimbledon,6,Grass,6,0,6,0.0%,0,0,0,-,2019,2025,R128,6,0.75,5.2%,6.0%,61.3%,64.0%,38.3%,54.0%,34.7%,60.3%,22.6%
US Open,10,Hard,16,6,10,37.5%,4,2,2,50.0%,2016,2025,R64,14,0.93,4.6%,5.9%,61.0%,66.8%,42.1%,57.2%,40.0%,59.3%,39.1%
Fed Cup,1,,2,2,0,100.0%,1,1,0,100.0%,2020,2020,,2,1.25,4.9%,0.0%,63.1%,64.9%,57.8%,62.3%,47.0%,45.5%,62.5%
Montreux 125,2,Clay,4,2,2,50.0%,0,0,0,-,2024,2025,QF,4,1.16,0.7%,3.6%,67.3%,60.3%,57.6%,59.4%,47.2%,55.2%,51.3%
Rabat,2,Clay,3,1,2,33.3%,0,0,0,-,2018,2025,R32,3,0.86,2.0%,6.0%,65.3%,59.2%,26.9%,48.0%,44.7%,38.1%,64.3%
Rome,5,Clay,10,4,6,40.0%,3,0,3,0.0%,2020,2025,QF,10,1.01,3.4%,4.8%,61.1%,59.8%,46.8%,54.8%,45.7%,51.1%,44.9%
Madrid,4,Clay,10,6,4,60.0%,2,1,1,50.0%,2021,2025,SF,10,1.03,3.4%,4.9%,62.7%,64.2%,43.8%,56.6%,44.7%,60.7%,54.3%
Indian Wells,5,Hard,8,3,5,37.5%,0,0,0,-,2018,2025,R32,8,0.94,3.8%,3.9%,57.0%,61.2%,45.6%,54.5%,42.6%,45.8%,47.0%
Canberra 125,1,Hard,3,1,2,33.3%,0,0,0,-,2024,2024,R32,3,0.90,3.6%,7.2%,62.9%,72.1%,37.5%,59.3%,36.5%,64.0%,50.0%
