Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,121,57,64,47.1%,131-135,49.2%,1249-1271,49.6%,14-20,41.2%,116,66.9%,31.7%,3.6%,4.5%,60.7%,63.7%,47.2%,57.2%,42.2%,49.8%,0.99
Clay,69,37,32,53.6%,87-72,54.7%,752-717,51.2%,10-7,58.8%,68,62.4%,39.4%,2.4%,4.5%,62.9%,61.4%,45.4%,55.5%,45.8%,50.6%,1.03
Grass,10,1,9,10.0%,5-19,20.8%,89-136,39.6%,1-1,50.0%,10,60.0%,19.5%,4.8%,5.7%,57.9%,65.5%,38.6%,54.2%,37.1%,45.6%,0.81
Grand Slams,27,8,19,29.6%,20-39,33.9%,226-298,43.1%,1-1,50.0%,27,60.5%,25.2%,3.8%,5.4%,62.1%,62.9%,42.0%,55.0%,40.1%,47.6%,0.89
Premiers,66,34,32,51.5%,79-70,53.0%,727-708,50.7%,9-10,47.4%,64,66.7%,34.7%,3.4%,5.0%,59.6%,63.1%,47.6%,56.8%,43.5%,50.2%,1.01
Internationals,90,45,45,50.0%,104-98,51.5%,959-937,50.6%,13-15,46.4%,88,65.7%,34.9%,3.0%,4.2%,62.6%,63.2%,46.1%,56.8%,43.8%,50.2%,1.01
Finals,5,2,3,40.0%,4-7,36.4%,45-61,42.5%,2-0,100.0%,5,58.8%,24.5%,1.1%,2.7%,68.6%,59.0%,44.3%,54.4%,40.1%,47.4%,0.88
Semi-finals,8,5,3,62.5%,10-6,62.5%,79-62,56.0%,0-0,-,8,74.3%,38.0%,4.6%,5.0%,61.7%,66.9%,47.8%,59.6%,45.0%,52.4%,1.11
Quarter-finals,17,8,9,47.1%,19-19,50.0%,180-178,50.3%,1-2,33.3%,16,68.4%,33.5%,3.2%,3.2%,66.0%,61.4%,48.6%,57.1%,43.0%,50.1%,1.00
vs Righties,183,80,103,43.7%,194-219,47.0%,1877-1995,48.5%,21-25,45.7%,177,64.0%,32.6%,3.2%,4.6%,61.3%,62.7%,45.4%,56.0%,42.7%,49.4%,0.97
vs Lefties,18,14,4,77.8%,28-11,71.8%,220-156,58.5%,4-3,57.1%,16,73.8%,44.4%,4.5%,4.5%,61.0%,65.7%,53.2%,60.8%,48.1%,54.5%,1.23
vs Top 10,17,8,9,47.1%,17-22,43.6%,158-186,45.9%,2-0,100.0%,16,57.6%,34.1%,3.5%,4.4%,60.5%,59.9%,43.9%,53.6%,43.8%,48.7%,0.94
