Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Iasi F,L vs Begu,0.0%,-,7.3%,75.0%,4.9%,4.0%,0.0%,4.2%,0.0%,1.6%,25.0%,-36,-46
2025 Mumbai F,W vs Sawangkaew,1.6%,0.0%,7.3%,44.4%,14.5%,27.3%,12.5%,2.2%,0.0%,1.4%,100.0%,-78,-87
2023 Bad Homburg R16,L vs Swiatek,2.7%,100.0%,8.4%,87.5%,1.7%,9.1%,0.0%,8.7%,50.0%,0.0%,-,-64,-57
2023 Roland Garros R128,L vs Errani,8.2%,75.0%,16.8%,74.2%,14.5%,13.7%,16.0%,8.5%,16.0%,0.3%,100.0%,99,97
2023 Charleston R64,L vs Fruhvirtova,0.0%,-,11.3%,61.1%,12.9%,17.2%,4.3%,1.8%,12.5%,0.0%,-,11,10
2023 Miami R128,L vs Muchova,8.1%,33.3%,10.7%,37.5%,10.7%,28.6%,0.0%,19.2%,33.3%,0.0%,-,0,-29
2022 BJK Cup Finals F,W vs Hunter,2.2%,0.0%,8.8%,58.8%,8.4%,18.2%,33.3%,5.6%,21.4%,0.2%,0.0%,-101,-76
2022 BJK Cup Finals RR,W vs Cocciaretto,3.8%,0.0%,9.8%,50.0%,12.0%,23.7%,8.7%,2.5%,11.8%,0.4%,0.0%,-82,-70
2022 Guadalajara R64,L vs Andreescu,0.0%,-,6.5%,42.9%,4.1%,7.1%,0.0%,0.0%,0.0%,0.0%,-,-46,14
2022 Toronto R16,L vs Halep,1.4%,0.0%,11.1%,42.9%,4.3%,5.7%,9.1%,12.3%,36.4%,0.7%,0.0%,-23,-15
2022 Roland Garros R32,W vs Azarenka,1.6%,100.0%,17.2%,76.7%,7.8%,8.2%,11.1%,6.6%,16.7%,0.3%,50.0%,-17,-27
2022 Madrid QF,W vs Kalinina,3.5%,100.0%,4.4%,80.0%,9.1%,38.5%,0.0%,7.0%,33.3%,1.0%,50.0%,-89,-42
2022 Doha R16,L vs Sabalenka,1.7%,100.0%,9.2%,33.3%,21.2%,16.7%,0.0%,3.6%,0.0%,0.8%,0.0%,-33,-26
2022 St Petersburg R32,L vs Kontaveit,2.4%,50.0%,5.6%,80.0%,10.4%,22.2%,0.0%,7.7%,0.0%,0.4%,100.0%,-9,-6
2021 BJK Cup Finals RR,L vs Kasatkina,3.5%,50.0%,14.7%,81.3%,9.2%,11.8%,0.0%,6.3%,16.7%,0.8%,100.0%,11,-29
2021 US Open R128,W vs Bucsa,0.0%,-,10.1%,75.0%,7.4%,13.0%,0.0%,7.6%,11.1%,0.8%,0.0%,-22,9
2021 Cincinnati F,L vs Barty,0.0%,-,12.4%,53.8%,8.2%,26.7%,0.0%,2.4%,0.0%,0.6%,0.0%,-20,-10
2021 Madrid R64,W vs Svitolina,0.0%,-,13.5%,80.0%,12.0%,22.0%,10.3%,6.1%,18.2%,2.8%,53.8%,50,19
2021 Dubai SF,L vs Krejcikova,0.0%,-,1.4%,100.0%,4.9%,0.0%,16.7%,6.5%,15.4%,0.0%,-,-35,-12
2021 Adelaide SF,L vs Swiatek,0.0%,-,11.0%,66.7%,6.7%,18.8%,0.0%,7.7%,16.7%,0.6%,0.0%,29,46
Last 52 Weeks (1 matches),,0.0%,-,7.3%,75.0%,4.9%,4.0%,0.0%,4.2%,0.0%,1.6%,25.0%,-36,-46
Career (38 matches),,1.8%,61.2%,10.5%,67.8%,9.7%,16.1%,6.9%,6.3%,15.5%,0.6%,33.8%,-29,-23
