Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2008,2,0,2,0.0%,0-4,0.0%,7-24,22.6%,0-0,-,2,-,-,0.0%,7.2%,71.1%,49.3%,28.6%,43.3%,35.4%,39.3%,0.62,R32 (Sydney)
2007,29,10,19,34.5%,26-44,37.1%,285-355,44.5%,5-3,62.5%,23,-,-,1.4%,3.1%,70.6%,57.8%,43.4%,53.5%,41.7%,47.5%,0.90,QF (Pattaya)
2006,23,11,12,47.8%,24-29,45.3%,221-261,45.9%,2-1,66.7%,8,-,-,0.7%,2.9%,72.0%,57.5%,43.6%,53.6%,41.3%,47.3%,0.89,QF (Montreal)
2005,25,8,17,32.0%,17-38,30.9%,212-286,42.6%,0-2,0.0%,5,-,-,1.0%,6.5%,60.1%,64.3%,44.4%,56.4%,44.7%,50.4%,1.02,R16 (4x)
2004,45,21,24,46.7%,48-56,46.2%,448-518,46.4%,9-4,69.2%,6,-,-,0.2%,5.5%,66.5%,59.9%,44.4%,54.7%,42.7%,48.7%,0.94,W (Hyderabad)
2003,41,17,24,41.5%,42-57,42.4%,435-488,47.1%,5-2,71.4%,5,-,-,0.3%,5.8%,66.8%,57.5%,43.2%,52.8%,45.2%,48.9%,0.96,QF (2x)
2002,45,24,21,53.3%,52-50,51.0%,459-445,50.8%,3-1,75.0%,0,,,,,,,,,,,,SF (2x)
2001,53,27,26,50.9%,63-58,52.1%,553-529,51.1%,1-6,14.3%,0,,,,,,,,,,,,F (Shanghai)
2000,44,17,27,38.6%,39-59,39.8%,409-476,46.2%,3-4,42.9%,0,,,,,,,,,,,,QF (2x)
1999,35,18,17,51.4%,32-36,47.1%,283-319,47.0%,5-1,83.3%,0,,,,,,,,,,,,QF (Pattaya)
1998,19,6,13,31.6%,17-27,38.6%,185-207,47.2%,0-2,0.0%,0,,,,,,,,,,,,QF (Tokyo)
1997,9,5,4,55.6%,11-9,55.0%,91-88,50.8%,0-1,0.0%,0,,,,,,,,,,,,QF (2x)
1996,2,0,2,0.0%,0-4,0.0%,13-25,34.2%,0-0,-,0,,,,,,,,,,,,R64 (Birmingham)
1995,2,0,2,0.0%,0-4,0.0%,7-25,21.9%,0-0,-,0,,,,,,,,,,,,R32 (Philadelphia)
1994,7,2,5,28.6%,4-11,26.7%,45-79,36.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (Auckland)
1993,7,2,5,28.6%,5-10,33.3%,53-76,41.1%,0-0,-,0,,,,,,,,,,,,R16 (Brisbane)
1992,3,1,2,33.3%,2-4,33.3%,30-31,49.2%,0-1,0.0%,0,,,,,,,,,,,,R32 (Auckland)
1991,9,2,7,22.2%,5-14,26.3%,63-95,39.9%,0-0,-,0,,,,,,,,,,,,R16 (Brisbane)
1990,4,2,2,50.0%,4-5,44.4%,44-48,47.8%,0-1,0.0%,0,,,,,,,,,,,,R32 (Brisbane)
Career,404,173,231,42.8%,391-519,43.0%,3843-4375,46.8%,34-29,54.0%,49,-,-,0.9%,4.2%,68.7%,58.4%,43.3%,53.7%,42.3%,47.9%,0.91,
