Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2008,1043,4,,,,,,,,,,,,
2007,70,433,83,1704,85,1638,106,1581,56,1633,,,,
2006,77,344,89,1701,94,1631,105,1593,51,1633,,,,
2005,126,270,131,1625,125,1581,126,1558,94,1541,,,,
2004,50,650,66,1768,59,1720,83,1649,77,1601,,,,
2003,53,682,65,1773,52,1733,92,1621,57,1633,,,,
2002,48,714,51,1834,41,1774,69,1692,37,1699,,,,
2001,51,636,48,1808,40,1760,91,1633,44,1664,,,,
2000,54,607,69,1774,62,1703,107,1601,63,1610,,,,
1999,56,548,72,1752,71,1679,128,1552,79,1596,,,,
1998,113,239,147,1553,146,1484,162,1344,112,1500,,,,
1997,110,228,160,1506,161,1441,170,1323,120,1488,,,,
1996,194,96,171,1396,169,1331,167,1245,138,1377,,,,
1995,214,6,,,,,,,,,,,,
1994,224,4,,,,,,,,,,,,
1993,172,8,,,,,,,,,,,,
1992,203,5,,,,,,,,,,,,
1991,201,5,473,1226,468,1140,439,1211,196,1318,,,,
1990,201,3,439,1103,414,1068,400,1124,213,1221,,,,
1989,417,,,,,,,,,,,,,
