Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,8,2,6,25.0%,1,0,1,0.0%,2012,2020,Q2,6,0.88,3.4%,2.9%,64.3%,58.0%,43.0%,52.6%,41.5%,45.1%,41.9%
Roland Garros,8,Clay,11,3,8,27.3%,2,1,1,50.0%,2011,2021,Q2,6,0.94,1.3%,1.1%,67.4%,50.3%,51.3%,50.7%,46.3%,50.0%,49.1%
Wimbledon,7,Grass,10,3,7,30.0%,1,0,1,0.0%,2011,2021,Q2,3,0.75,1.9%,2.5%,67.7%,52.3%,44.2%,49.7%,37.7%,35.0%,72.7%
US Open,7,Hard,11,4,7,36.4%,2,1,1,50.0%,2011,2019,Q3,7,0.98,5.6%,3.7%,56.5%,61.2%,51.6%,57.0%,42.2%,53.0%,44.3%
Fed Cup,9,,19,8,11,42.1%,5,2,3,40.0%,2008,2017,,2,0.74,0.8%,0.8%,69.5%,47.3%,40.0%,45.0%,40.7%,52.0%,38.5%
Bogota,5,Clay,13,7,6,53.8%,4,2,2,50.0%,2014,2019,R16,13,1.01,1.9%,3.5%,62.3%,61.3%,43.8%,54.7%,45.7%,50.0%,50.9%
Luxembourg,3,Hard,4,1,3,25.0%,0,0,0,-,2011,2018,Q2,3,0.87,1.2%,3.6%,62.0%,64.1%,33.3%,52.4%,41.6%,40.0%,58.3%
Bucharest,2,Clay,6,4,2,66.7%,2,1,1,50.0%,2014,2016,R16,4,1.19,2.7%,1.9%,57.4%,61.5%,58.2%,60.1%,47.4%,45.5%,45.0%
Rio de Janeiro,2,Clay,5,3,2,60.0%,1,0,1,0.0%,2015,2016,R16,4,1.07,0.8%,2.5%,62.5%,59.3%,45.6%,54.2%,48.8%,33.3%,46.2%
Anning,2,Clay,4,2,2,50.0%,1,1,0,100.0%,2018,2019,QF,4,0.86,2.3%,2.3%,70.9%,51.4%,42.7%,48.8%,43.8%,55.6%,43.2%
Nurnberg,2,Clay,3,1,2,33.3%,0,0,0,-,2016,2019,Q2,3,1.00,0.5%,3.6%,66.2%,56.6%,48.5%,53.8%,45.9%,51.9%,57.1%
