Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,37.5%,12.5%,0.0%,3.9%,58.8%,60.0%,23.8%,45.1%,37.7%,41.1%,0.69,R32 (Bogota)
2018,4,2,2,50.0%,4-5,44.4%,36-42,46.2%,0-0,-,4,56.4%,35.9%,3.3%,3.3%,64.5%,55.1%,43.9%,51.1%,42.2%,47.0%,0.86,R16 (2x)
2017,7,1,6,14.3%,2-12,14.3%,52-79,39.7%,0-1,0.0%,7,51.6%,27.3%,0.6%,0.9%,67.9%,54.3%,46.3%,51.7%,39.2%,45.9%,0.81,R16 (Bogota)
2016,14,5,9,35.7%,12-19,38.7%,115-158,42.1%,1-1,50.0%,11,44.6%,30.9%,1.6%,2.9%,65.2%,52.8%,37.6%,47.5%,41.7%,44.7%,0.79,R16 (3x)
2015,2,1,1,50.0%,2-3,40.0%,20-23,46.5%,0-0,-,2,50.0%,42.9%,0.0%,1.6%,67.5%,49.4%,61.0%,53.2%,38.9%,46.6%,0.83,R16 (Florianopolis)
2014,5,2,3,40.0%,5-8,38.5%,66-75,46.8%,1-3,25.0%,0,,,,,,,,,,,,R16 (Bucharest)
2013,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,0,,,,,,,,,,,,
2012,3,1,2,33.3%,2-4,33.3%,22-27,44.9%,0-0,-,1,-,-,5.7%,9.4%,58.5%,54.8%,13.6%,37.7%,37.3%,37.5%,0.60,
2011,3,2,1,66.7%,4-3,57.1%,31-34,47.7%,1-0,100.0%,0,,,,,,,,,,,,
2010,1,1,0,100.0%,2-0,100.0%,13-6,68.4%,0-0,-,0,,,,,,,,,,,,
2009,3,0,3,0.0%,1-6,14.3%,19-36,34.5%,0-0,-,0,,,,,,,,,,,,
2008,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,
Career,45,16,29,35.6%,36-64,36.0%,393-508,43.6%,3-5,37.5%,26,48.7%,31.2%,1.6%,2.5%,65.6%,53.6%,41.2%,49.3%,40.6%,45.2%,0.80,
