Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2005,275,124,98,1687,94,1635,78,1660,,,902,22,,
2004,143,305,91,1707,81,1663,79,1679,,,740,37,,
2003,124,327,111,1666,94,1637,89,1642,136,1458,666,45,,
2002,79,494,77,1752,105,1620,57,1750,112,1512,,,,
2001,55,690,64,1786,128,1587,41,1812,108,1541,411,91,,
2000,14,1598,33,1880,82,1679,9,1906,75,1605,,,,
1999,52,849,61,1801,158,1534,43,1804,89,1580,876,20,,
1998,60,747,92,1730,198,1462,79,1725,97,1562,,,,
1997,102,481,101,1733,,,78,1724,,,619,52,,
1996,126,370,153,1636,217,1396,118,1650,,,,,,
1995,396,,,,,,,,,,,,,
1994,328,,,,,,,,,,619,44,,
1993,371,,,,,,,,,,,,,
1992,747,,,,,,,,,,,,,
