Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,12,5,7,41.7%,13-18,41.9%,148-165,47.3%,4-4,50.0%,10,76.2%,18.9%,11.9%,2.7%,61.6%,72.2%,49.1%,63.4%,35.8%,49.3%,0.98
Clay,23,11,12,47.8%,30-30,50.0%,291-300,49.2%,8-2,80.0%,22,78.8%,19.1%,6.5%,2.7%,64.9%,69.4%,51.1%,63.0%,35.6%,49.4%,0.96
Grand Slams,6,2,4,33.3%,9-13,40.9%,105-109,49.1%,0-1,0.0%,6,81.1%,17.8%,7.7%,1.6%,65.1%,67.0%,54.0%,62.4%,36.1%,49.5%,0.96
Masters,5,2,3,40.0%,5-8,38.5%,67-72,48.2%,2-3,40.0%,5,74.6%,22.4%,10.3%,3.3%,62.2%,71.7%,49.7%,63.4%,36.9%,49.8%,1.01
Other Tours,22,11,11,50.0%,26-24,52.0%,238-251,48.7%,9-2,81.8%,21,77.6%,18.7%,7.6%,3.0%,64.0%,71.3%,49.2%,63.3%,35.1%,49.1%,0.96
Best of 5,6,2,4,33.3%,9-13,40.9%,105-109,49.1%,0-1,0.0%,6,81.1%,17.8%,7.7%,1.6%,65.1%,67.0%,54.0%,62.4%,36.1%,49.5%,0.96
Best of 3,29,14,15,48.3%,34-35,49.3%,334-356,48.4%,12-5,70.6%,26,76.9%,19.5%,8.2%,3.1%,63.6%,71.3%,49.3%,63.3%,35.5%,49.3%,0.97
Semi-finals,1,0,1,0.0%,0-2,0.0%,7-12,36.8%,0-0,-,1,66.7%,10.0%,7.0%,5.3%,61.4%,74.3%,27.3%,56.1%,20.4%,39.6%,0.47
Quarter-finals,2,1,1,50.0%,3-3,50.0%,29-33,46.8%,1-1,50.0%,2,73.3%,20.0%,10.4%,1.6%,64.2%,69.4%,49.3%,62.2%,33.3%,48.1%,0.88
vs Righties,28,16,12,57.1%,37-36,50.7%,361-361,50.0%,8-4,66.7%,26,79.6%,20.6%,8.7%,2.7%,63.5%,71.1%,51.1%,63.8%,36.9%,50.2%,1.02
vs Lefties,6,0,6,0.0%,6-12,33.3%,78-104,42.9%,4-2,66.7%,6,72.1%,13.3%,5.7%,2.9%,65.7%,67.1%,47.9%,60.5%,30.6%,46.0%,0.78
vs Top 10,1,1,0,100.0%,2-1,66.7%,16-16,50.0%,1-0,100.0%,1,81.3%,13.3%,4.7%,5.7%,58.5%,72.6%,45.5%,61.3%,35.5%,49.2%,0.92
