Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,16,9,7,56.3%,5,2,3,40.0%,2019,2026,R16,16,1.00,4.2%,4.3%,63.1%,64.5%,49.8%,59.0%,40.9%,59.5%,45.8%
Roland Garros,7,Clay,25,18,7,72.0%,7,6,1,85.7%,2019,2025,R16,25,1.06,3.4%,4.8%,64.3%,62.1%,50.8%,58.1%,44.6%,56.0%,44.2%
Wimbledon,5,Grass,11,5,6,45.5%,5,2,3,40.0%,2019,2025,R64,11,0.96,4.3%,6.5%,61.8%,68.0%,41.9%,58.0%,40.5%,55.8%,44.3%
US Open,6,Hard,11,5,6,45.5%,3,0,3,0.0%,2021,2025,R64,10,1.02,6.0%,7.0%,58.7%,68.3%,45.3%,58.8%,42.0%,62.1%,40.0%
Fed Cup,3,,7,6,1,85.7%,3,2,1,66.7%,2018,2020,,7,1.16,6.6%,4.3%,53.2%,66.3%,53.7%,60.4%,46.0%,60.0%,52.6%
Cluj-Napoca,2,Hard,4,2,2,50.0%,0,0,0,-,2025,2026,R16,4,1.00,2.9%,5.0%,68.8%,59.4%,46.0%,55.2%,45.0%,61.5%,56.7%
Hobart,2,Hard,4,2,2,50.0%,1,1,0,100.0%,2025,2026,QF,4,0.95,4.7%,3.0%,65.4%,60.4%,46.2%,55.5%,42.1%,61.0%,38.7%
Rome,3,Clay,5,2,3,40.0%,0,0,0,-,2023,2025,R64,5,0.89,3.5%,5.7%,61.6%,58.7%,41.0%,51.9%,42.7%,46.3%,40.5%
Madrid,5,Clay,10,5,5,50.0%,3,2,1,66.7%,2018,2025,R64,10,1.02,4.1%,4.7%,61.1%,64.3%,47.1%,57.6%,43.3%,52.7%,51.9%
Miami,4,Hard,6,2,4,33.3%,4,2,2,50.0%,2019,2025,R128,6,0.93,4.7%,6.0%,60.7%,64.5%,46.2%,57.3%,39.9%,59.3%,39.2%
Indian Wells,3,Hard,5,2,3,40.0%,2,2,0,100.0%,2019,2025,R128,5,0.87,2.9%,5.0%,55.8%,62.8%,43.7%,54.4%,39.5%,50.0%,42.6%
