Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Madrid R128,L vs Joint,47% (8/17),80% (4/5),1/1,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2019 W15 Tabarka R32,W vs Ayala Serra,80% (8/10),63% (5/8),2/2,1/1,71% (5/7),0/0,0/0,- (0/0),- (0/0)
2017 Sant Cugat $25K R32,L vs Garcia Perez,80% (4/5),50% (2/4),0/0,0/0,62% (8/13),3/5,1/2,- (0/0),- (0/0)
2025 (1 matches),,47.1%,80.0%,100.0%,-,44.4%,33.3%,50.0%,-,-
2019 (1 matches),,80.0%,62.5%,100.0%,100.0%,71.4%,-,-,-,-
2017 (1 matches),,80.0%,50.0%,-,-,61.5%,60.0%,50.0%,-,-
Career (3 matches),,62.5%,64.7%,100.0%,100.0%,58.6%,50.0%,50.0%,-,-
