Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Rotterdam QF,L vs Bublik,83% (15/18),9% (1/11),1/2,0/0,67% (4/6),2/4,1/2,70% (7/10),27% (3/11)
2026 Rotterdam R32,W vs Budkov Kjaer,73% (8/11),67% (4/6),2/2,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2026 United Cup RR,L vs Baez,100% (6/6),33% (2/6),0/0,0/0,33% (2/6),2/4,0/1,- (0/0),- (0/0)
2025 Davis Cup RR,L vs Cobolli,70% (14/20),75% (3/4),1/1,0/0,86% (12/14),6/8,0/1,67% (4/6),17% (1/6)
2025 Paris R64,L vs Medvedev,67% (4/6),- (0/0),0/0,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2025 Basel SF,L vs Fonseca,59% (10/17),100% (1/1),0/0,0/0,33% (1/3),0/2,0/1,80% (4/5),0% (0/6)
2025 Basel R32,W vs Bertola,75% (9/12),75% (3/4),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Canada R128,W vs Martin,88% (7/8),50% (5/10),2/5,1/3,- (0/0),0/0,0/0,- (0/0),- (0/0)
2025 Queen's Club R16,L vs Alcaraz,45% (13/29),17% (2/12),1/8,0/0,43% (3/7),3/5,2/3,63% (5/8),50% (4/8)
2025 Roland Garros R64,L vs Fils,76% (19/25),41% (9/22),2/2,0/0,62% (8/13),4/7,0/1,20% (2/10),45% (5/11)
2025 Rome R16,L vs Ruud,50% (7/14),0% (0/2),0/0,0/0,60% (3/5),3/5,0/1,- (0/0),- (0/0)
2025 Rome R64,W vs Shelton,58% (7/12),42% (5/12),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2025 Miami R32,L vs Monfils,68% (15/22),75% (3/4),1/1,0/0,63% (5/8),1/3,0/1,25% (1/4),0% (0/4)
2025 Miami R64,W vs Medvedev,82% (9/11),27% (3/11),2/5,1/2,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2025 Dallas SF,L vs Ruud,61% (11/18),50% (3/6),1/1,0/0,50% (3/6),1/3,1/2,33% (2/6),40% (2/5)
2025 Australian Open R128,L vs Ruud,55% (16/29),63% (5/8),2/3,0/0,58% (7/12),0/3,0/1,- (0/0),- (0/0)
2025 Hong Kong QF,W vs Musetti,75% (12/16),43% (3/7),2/4,1/2,64% (7/11),0/1,0/0,80% (4/5),50% (3/6)
2024 Antwerp R32,L vs Lehecka,56% (5/9),0% (0/2),0/0,0/0,56% (5/9),5/7,5/6,- (0/0),- (0/0)
2024 US Open R128,L vs Diallo,72% (13/18),42% (5/12),1/1,0/0,65% (13/20),7/10,1/2,- (0/0),- (0/0)
2024 Wimbledon R64,L vs De Minaur,60% (6/10),50% (3/6),0/0,0/0,53% (9/17),3/6,3/4,- (0/0),- (0/0)
2026 (3 matches),,82.9%,30.4%,75.0%,100.0%,57.1%,50.0%,33.3%,70.0%,27.3%
2025 (14 matches),,64.0%,43.7%,50.0%,45.5%,62.2%,46.2%,25.0%,50.0%,32.6%
2024 (6 matches),,65.1%,31.3%,46.2%,28.6%,63.8%,60.7%,73.3%,-,-
2023 (4 matches),,54.3%,38.9%,33.3%,25.0%,64.0%,55.6%,66.7%,50.0%,41.7%
2022 (8 matches),,59.2%,34.5%,62.5%,100.0%,58.0%,48.5%,56.3%,52.6%,25.0%
Career (228 matches),,61.1%,41.4%,52.8%,53.1%,59.4%,47.6%,46.3%,61.0%,39.0%
