Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Rotterdam QF,L vs Bublik,71.7%,30.9%,8.0%,8/1,2.22,31.1%,67.2%,26.8%,4.9%,1.87,58.3%,88.9%,35.0%,13.3%,2.51,5.3%
2026 Rotterdam R32,W vs Budkov Kjaer,82.6%,55.3%,0.0%,0/0,2.63,3.3%,78.8%,57.7%,0.0%,2.63,6.7%,100.0%,50.0%,0.0%,2.63,0.0%
2026 United Cup RR,L vs Baez,88.7%,42.9%,1.4%,0/1,2.21,22.5%,91.3%,45.2%,2.2%,2.38,32.1%,91.3%,38.1%,0.0%,1.83,0.0%
2025 Davis Cup Finals RR,L vs Cobolli,76.5%,41.5%,1.2%,1/0,1.88,18.2%,74.0%,37.8%,2.0%,2.02,33.3%,80.0%,46.4%,0.0%,1.70,0.0%
2025 Paris R64,L vs Medvedev,69.8%,37.8%,3.8%,1/1,2.41,6.3%,63.9%,30.4%,2.8%,2.14,11.1%,100.0%,50.0%,7.1%,2.68,0.0%
2025 Basel SF,L vs Fonseca,70.7%,35.8%,9.3%,5/2,2.35,15.5%,62.5%,23.3%,8.3%,2.32,28.1%,88.5%,52.2%,11.5%,2.38,0.0%
2025 Basel R32,W vs Bertola,77.8%,45.2%,0.0%,0/0,2.87,40.0%,70.0%,52.4%,0.0%,2.89,50.0%,100.0%,38.1%,0.0%,2.81,12.5%
2025 Canada R128,W vs Martin,81.1%,65.1%,0.0%,0/0,2.34,44.4%,76.7%,78.3%,0.0%,2.28,87.5%,90.9%,50.0%,0.0%,2.40,10.0%
2025 Queens Club R16,L vs Alcaraz,65.9%,44.6%,4.8%,6/0,-,11.8%,60.6%,40.0%,4.5%,-,16.0%,82.7%,48.8%,5.8%,-,5.7%
2025 Roland Garros R64,L vs Fils,83.8%,49.0%,4.0%,6/1,2.15,8.7%,82.7%,46.5%,1.9%,2.15,13.8%,95.2%,52.5%,8.1%,2.16,0.0%
2025 Rome R16,L vs Ruud,74.1%,27.5%,1.9%,1/0,2.56,6.4%,71.9%,30.4%,0.0%,2.30,11.5%,81.0%,23.5%,4.8%,2.90,0.0%
2025 Rome R64,W vs Shelton,89.3%,56.0%,1.8%,1/0,2.71,0.0%,90.3%,42.9%,3.2%,2.70,0.0%,95.7%,72.7%,0.0%,2.75,0.0%
2025 Miami R32,L vs Monfils,70.9%,39.7%,4.5%,4/1,2.23,15.8%,67.1%,32.7%,4.1%,2.34,25.5%,90.6%,51.7%,6.3%,2.07,0.0%
2025 Miami R64,W vs Medvedev,73.6%,51.3%,0.0%,0/0,2.05,0.0%,77.4%,50.0%,0.0%,2.21,0.0%,83.3%,53.3%,0.0%,1.90,0.0%
2025 Dallas SF,L vs Ruud,80.0%,47.2%,3.3%,2/1,2.57,38.9%,78.1%,42.0%,0.0%,2.52,58.3%,91.7%,59.1%,12.5%,2.67,0.0%
2025 Australian Open R128,L vs Ruud,72.4%,46.1%,6.5%,4/4,2.11,22.4%,74.7%,41.9%,1.2%,1.86,36.1%,71.1%,55.6%,18.4%,2.49,0.0%
2025 Hong Kong QF,W vs Musetti,70.6%,45.8%,5.9%,4/2,2.36,26.0%,64.7%,34.1%,5.9%,2.44,30.6%,93.3%,64.3%,6.7%,2.21,16.7%
2024 Antwerp R32,L vs Lehecka,60.0%,43.3%,2.0%,0/1,-,17.8%,50.0%,50.0%,0.0%,-,28.6%,80.0%,37.5%,5.0%,-,0.0%
2024 Indian Wells R128,L vs Michelsen,75.8%,44.0%,6.1%,1/3,2.37,0.0%,66.0%,41.9%,6.4%,2.58,0.0%,100.0%,47.4%,5.3%,2.08,0.0%
2024 Cordoba R16,W vs Cerundolo,88.7%,49.2%,2.8%,1/1,2.08,0.0%,90.9%,48.0%,1.8%,1.99,0.0%,86.7%,53.8%,6.7%,2.30,0.0%
Career (44 matches),,76.0%,44.9%,4.8%,61.1%,2.31,10.3%,75.0%,42.7%,3.4%,2.31,15.9%,87.8%,48.5%,8.0%,2.31,1.5%
