Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),37,1175,44,1819,46,1770,42,1738,59,1644,,,,
2025,33,1385,43,1816,42,1767,40,1736,63,1643,,,,
2024,62,832,105,1692,147,1573,74,1683,143,1515,313,205,,
2023,86,706,140,1625,174,1524,93,1643,176,1461,,,,
2022,58,802,86,1727,101,1638,49,1730,152,1487,,,,
2021,77,848,136,1640,160,1543,105,1636,203,1430,,,,
2020,110,646,97,1692,114,1584,68,1686,,,166,450,,
2019,86,628,107,1690,143,1574,61,1700,170,1467,170,405,100,1583
2018,81,663,141,1627,165,1530,70,1673,155,1488,216,281,,
2017,184,275,186,1559,161,1537,158,1536,150,1491,303,189,,
2016,292,168,,,,,,,,,409,138,,
2015,440,95,275,1441,250,1413,211,1460,,,615,87,,
2014,957,13,,,,,,,,,781,48,,
