Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Casper Ruud [NOR],1,7,12.5%,4,1,3,25.0%,2016,2026,8,0.86,5.0%,3.9%,63.0%,66.4%,50.0%,60.4%,34.1%,64.3%,33.3%
7,Albert Ramos [ESP],2,5,28.6%,3,1,2,33.3%,2015,2024,7,0.90,3.3%,3.7%,67.6%,63.4%,42.3%,56.5%,39.2%,55.6%,35.8%
7,Bernabe Zapata Miralles [ESP],5,2,71.4%,1,0,1,0.0%,2016,2024,4,1.19,1.8%,2.9%,68.2%,65.2%,48.3%,59.9%,47.8%,53.3%,55.9%
7,Pedro Martinez [ESP],1,6,14.3%,3,0,3,0.0%,2016,2024,5,0.91,4.6%,4.6%,66.8%,65.4%,37.5%,56.1%,40.1%,52.1%,40.5%
7,Federico Delbonis [ARG],4,3,57.1%,2,2,0,100.0%,2019,2023,7,1.16,2.7%,2.9%,71.3%,68.8%,46.3%,62.3%,43.6%,61.1%,34.7%
7,Pedro Cachin [ARG],6,1,85.7%,2,1,1,50.0%,2015,2023,6,1.11,2.1%,1.9%,68.1%,63.5%,48.9%,58.9%,45.7%,66.0%,66.7%
7,Carlos Taberner [ESP],3,4,42.9%,1,0,1,0.0%,2015,2021,5,0.97,3.4%,5.2%,63.8%,61.1%,48.6%,56.6%,42.0%,48.6%,54.8%
6,Francisco Cerundolo [ARG],2,4,33.3%,2,0,2,0.0%,2020,2026,6,0.94,3.3%,4.4%,66.9%,65.8%,42.4%,58.1%,39.4%,50.9%,31.1%
6,Daniel Altmaier [GER],4,2,66.7%,0,0,0,-,2016,2026,5,1.18,2.6%,2.3%,67.3%,65.2%,54.9%,61.8%,45.1%,50.0%,47.9%
6,Lorenzo Musetti [ITA],4,2,66.7%,2,1,1,50.0%,2019,2025,6,1.00,1.6%,4.1%,63.9%,68.9%,48.1%,61.4%,38.6%,57.8%,37.2%
6,Thiago Seyboth Wild [BRA],5,1,83.3%,1,1,0,100.0%,2019,2025,6,1.26,5.1%,5.6%,66.1%,73.7%,49.6%,65.6%,43.3%,51.9%,54.5%
6,Alex De Minaur [AUS],2,4,33.3%,1,1,0,100.0%,2016,2024,5,0.79,2.5%,5.8%,64.2%,66.2%,41.3%,57.3%,33.8%,61.3%,31.3%
6,Taro Daniel [JPN],4,2,66.7%,2,2,0,100.0%,2017,2022,6,1.14,5.8%,3.5%,63.5%,69.9%,46.8%,61.4%,44.0%,50.0%,52.5%
5,Alejandro Davidovich Fokina [ESP],2,3,40.0%,0,0,0,-,2018,2025,5,1.02,3.2%,2.4%,60.3%,59.6%,56.0%,58.2%,42.7%,57.1%,43.2%
5,Frances Tiafoe [USA],4,1,80.0%,2,1,1,50.0%,2018,2025,5,1.21,5.6%,4.8%,67.4%,73.3%,47.4%,64.9%,42.6%,60.0%,40.0%
