Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Rotterdam QF,L vs Bublik,7.8%,75.0%,16.1%,69.4%,9.0%,11.4%,0.0%,4.7%,16.7%,1.9%,33.3%,-122,-90
2026 Rotterdam R32,W vs Budkov Kjaer,2.5%,100.0%,8.9%,100.0%,7.1%,13.0%,0.0%,6.3%,30.8%,1.6%,25.0%,-117,-92
2026 United Cup RR,L vs Baez,6.7%,66.7%,18.7%,65.2%,7.8%,15.6%,7.1%,3.7%,9.1%,1.0%,33.3%,-85,-66
2025 Davis Cup Finals RR,L vs Cobolli,5.9%,100.0%,9.7%,68.4%,9.7%,19.0%,0.0%,9.6%,30.0%,0.6%,0.0%,-74,-39
2025 Paris R64,L vs Medvedev,15.9%,71.4%,21.4%,66.7%,3.0%,0.0%,0.0%,3.4%,5.9%,2.0%,25.0%,-115,-125
2025 Basel SF,L vs Fonseca,4.3%,66.7%,11.6%,77.8%,10.5%,10.0%,20.0%,3.4%,15.4%,1.1%,33.3%,-89,-92
2025 Basel R32,W vs Bertola,3.9%,100.0%,9.1%,70.0%,16.9%,25.0%,0.0%,2.0%,9.1%,0.0%,-,-53,21
2025 Canada R128,W vs Martin,0.0%,-,11.5%,90.0%,13.2%,22.7%,14.3%,5.3%,28.6%,1.2%,50.0%,-18,27
2025 Queens Club R16,L vs Alcaraz,1.7%,50.0%,9.0%,56.5%,17.6%,24.0%,0.0%,10.0%,24.0%,1.1%,50.0%,-23,-7
2025 Roland Garros R64,L vs Fils,0.7%,100.0%,9.7%,75.0%,10.2%,11.5%,20.0%,8.0%,21.8%,2.9%,27.8%,-115,-71
2025 Rome R16,L vs Ruud,1.7%,100.0%,11.3%,69.2%,10.6%,15.2%,0.0%,5.6%,15.0%,2.4%,33.3%,-59,-60
2025 Rome R64,W vs Shelton,0.0%,-,9.7%,80.0%,9.2%,12.5%,0.0%,3.0%,8.3%,1.4%,33.3%,-171,-141
2025 Miami R32,L vs Monfils,7.3%,42.9%,17.8%,68.4%,11.4%,15.2%,12.5%,6.5%,21.4%,1.4%,50.0%,-38,-35
2025 Miami R64,W vs Medvedev,5.7%,100.0%,11.3%,83.3%,7.9%,11.1%,0.0%,14.5%,35.0%,1.1%,33.3%,-116,-121
2025 Dallas SF,L vs Ruud,10.6%,88.9%,24.3%,77.3%,9.9%,4.8%,20.0%,10.6%,38.9%,0.8%,33.3%,-42,-47
2025 Australian Open R128,L vs Ruud,2.3%,66.7%,17.6%,71.7%,14.4%,14.3%,0.0%,3.4%,8.0%,1.6%,57.1%,-24,-14
2025 Hong Kong QF,W vs Musetti,1.0%,100.0%,10.8%,86.4%,12.9%,20.7%,11.8%,8.0%,26.7%,0.5%,100.0%,-27,-30
2024 Antwerp R32,L vs Lehecka,0.0%,-,11.8%,46.2%,6.2%,9.4%,0.0%,12.0%,16.7%,0.5%,0.0%,-90,-111
2024 Indian Wells R128,L vs Michelsen,0.0%,-,7.9%,70.0%,12.0%,23.1%,0.0%,7.9%,11.1%,0.6%,50.0%,-89,-84
2024 Cordoba R16,W vs Cerundolo,1.3%,0.0%,7.3%,54.5%,9.2%,7.8%,9.1%,4.2%,19.0%,3.8%,25.0%,-60,-59
Career (44 matches),,3.1%,70.6%,10.5%,69.5%,10.1%,13.6%,9.2%,6.0%,21.1%,1.6%,37.0%,-87,-71
