Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Rotterdam QF,L vs Bublik,30.9%,43.6%,53.3%,40.1%,39.3%,60.7%,64.9%,55.9%,50.0%,25.7%,0.0%,20.8%,22.9%,42.1%,-48
2026 Rotterdam R32,W vs Budkov Kjaer,27.3%,38.6%,73.3%,33.0%,40.0%,60.0%,66.7%,50.0%,41.7%,30.8%,0.0%,11.8%,11.8%,80.0%,-2
2026 United Cup RR,L vs Baez,23.1%,32.7%,47.5%,30.2%,28.2%,41.0%,50.0%,37.7%,73.7%,30.0%,25.0%,7.7%,7.7%,41.7%,-79
2025 Davis Cup Finals RR,L vs Cobolli,29.7%,43.2%,54.5%,34.7%,41.7%,56.9%,57.1%,49.3%,55.9%,39.5%,37.5%,7.9%,18.4%,51.4%,-40
2025 Paris R64,L vs Medvedev,22.2%,28.9%,40.6%,28.2%,30.8%,42.3%,38.9%,41.2%,92.9%,16.7%,0.0%,12.5%,12.5%,42.9%,-2
2025 Basel SF,L vs Fonseca,26.3%,35.0%,53.4%,32.3%,36.0%,48.0%,62.5%,45.6%,57.7%,33.3%,-,10.3%,13.8%,42.3%,-29
2025 Basel R32,W vs Bertola,39.3%,51.8%,60.0%,49.8%,45.0%,62.5%,63.6%,59.8%,61.1%,31.8%,100.0%,33.3%,33.3%,50.0%,157
2025 Canada R128,W vs Martin,44.1%,52.9%,68.4%,48.8%,59.1%,68.2%,66.7%,66.4%,45.5%,18.2%,-,16.7%,25.0%,70.0%,-79
2025 Queens Club R16,L vs Alcaraz,28.5%,40.8%,47.1%,34.8%,36.7%,53.2%,52.0%,47.2%,80.6%,25.6%,60.0%,18.6%,25.6%,40.0%,54
2025 Roland Garros R64,L vs Fils,26.6%,31.6%,51.5%,31.8%,35.0%,43.0%,58.5%,43.2%,64.7%,49.0%,40.0%,15.6%,15.6%,39.5%,15
2025 Rome R16,L vs Ruud,14.8%,29.5%,61.2%,22.3%,17.6%,41.2%,60.7%,31.2%,35.3%,58.8%,66.7%,12.5%,16.7%,61.9%,4
2025 Rome R64,W vs Shelton,27.7%,34.0%,65.6%,32.3%,27.3%,33.3%,62.5%,33.9%,77.8%,33.3%,0.0%,33.3%,41.7%,75.0%,137
2025 Miami R32,L vs Monfils,24.0%,36.5%,57.1%,31.8%,29.4%,42.6%,60.4%,41.3%,53.1%,30.6%,25.0%,14.7%,26.5%,51.7%,5
2025 Miami R64,W vs Medvedev,18.9%,30.2%,66.7%,27.9%,30.0%,50.0%,66.7%,46.0%,58.8%,30.8%,0.0%,4.5%,4.5%,66.7%,-79
2025 Dallas SF,L vs Ruud,19.8%,30.8%,52.8%,28.6%,21.3%,37.7%,56.3%,34.4%,71.4%,39.4%,33.3%,17.2%,17.2%,45.8%,-29
2025 Australian Open R128,L vs Ruud,26.8%,39.1%,48.0%,36.1%,32.2%,50.0%,60.7%,46.4%,53.5%,31.9%,28.6%,17.8%,20.0%,27.0%,16
2025 Hong Kong QF,W vs Musetti,24.5%,41.2%,53.4%,30.5%,29.0%,44.9%,55.1%,37.8%,70.6%,48.6%,80.0%,17.2%,37.9%,50.0%,49
2024 Antwerp R32,L vs Lehecka,18.3%,21.7%,42.2%,20.0%,26.3%,31.6%,42.9%,28.9%,65.0%,50.0%,0.0%,5.6%,5.6%,41.2%,-68
2024 Indian Wells R128,L vs Michelsen,20.0%,25.0%,44.4%,23.7%,23.5%,29.4%,46.2%,30.0%,55.6%,31.3%,33.3%,17.4%,21.7%,42.1%,51
2024 Cordoba R16,W vs Cerundolo,15.0%,25.0%,54.5%,22.3%,17.9%,32.1%,56.5%,28.2%,70.0%,84.6%,66.7%,9.1%,9.1%,50.0%,-26
Career (44 matches),,23.2%,32.1%,49.4%,29.3%,29.1%,41.2%,53.4%,38.7%,63.1%,49.7%,50.3%,14.6%,18.4%,43.0%,26
