Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,16,10,6,62.5%,5,3,2,60.0%,2012,2024,R32,14,1.04,1.7%,2.5%,66.7%,59.9%,49.5%,56.5%,45.4%,49.1%,46.9%
Roland Garros,6,Clay,6,0,6,0.0%,2,0,2,0.0%,2011,2022,Q1,6,0.73,1.7%,4.0%,63.1%,56.5%,41.2%,50.9%,36.1%,48.1%,54.5%
Wimbledon,4,Grass,7,3,4,42.9%,1,0,1,0.0%,2011,2021,Q3,3,0.83,3.8%,5.1%,58.9%,61.9%,49.5%,56.8%,35.9%,52.4%,23.8%
US Open,7,Hard,13,6,7,46.2%,2,1,1,50.0%,2010,2024,Q3,13,0.97,2.5%,4.2%,60.6%,56.9%,44.0%,51.8%,46.8%,45.9%,52.7%
Nanchang,2,Hard,4,2,2,50.0%,2,2,0,100.0%,2018,2023,R16,4,0.91,0.7%,5.4%,65.2%,61.5%,40.4%,54.2%,41.5%,51.3%,44.8%
Hong Kong,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2017,2023,R32,2,0.89,1.9%,5.8%,62.6%,60.8%,43.1%,54.2%,41.0%,30.8%,50.0%
Guangzhou,2,Hard,5,3,2,60.0%,0,0,0,-,2012,2023,Q3,5,1.07,5.4%,2.7%,60.1%,64.0%,49.2%,58.1%,44.7%,61.3%,56.3%
Prague,2,Hard,3,1,2,33.3%,0,0,0,-,2020,2022,R128,3,1.00,0.8%,3.3%,69.5%,55.6%,33.8%,49.0%,51.0%,60.4%,60.0%
St. Petersburg,2,Hard,3,1,2,33.3%,0,0,0,-,2021,2022,Q2,3,0.86,0.5%,2.2%,69.4%,59.1%,48.2%,55.7%,37.9%,40.0%,41.2%
San Jose,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2018,2021,Q1,2,0.93,0.7%,4.9%,66.4%,58.9%,43.8%,53.8%,42.9%,37.5%,31.8%
