Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 W25+H Calvi F,W vs Bandecchi,1.12,1.80,32.6,2.2,3.4%,65.5%,0.0%,74.1%,55.3%,42.1%
2019 W25 Taipei F,W vs Ushijima,1.09,1.32,51.1,2.2,-,43.3%,-,65.4%,52.9%,58.8%
2019 W25 Taipei R32,W vs Cho,1.00,1.36,56.9,2.8,-,73.5%,-,51.5%,59.4%,41.9%
2019 W25 Singapore SF,L vs Luangnam,1.01,0.70,49.6,2.4,-,40.5%,-,38.7%,38.2%,45.5%
2019 W25 Singapore R32,W vs Saigo,1.07,1.44,47.2,2.8,-,53.1%,-,60.7%,62.1%,53.8%
2019 W60 Luan R32,W vs Muramatsu,1.05,3.23,28.2,2.0,5.9%,88.2%,7.7%,69.2%,73.1%,50.0%
2019 W25 Namangan F,W vs Chong,1.04,1.17,81.5,19.6,0.0%,56.5%,0.0%,61.9%,43.8%,48.8%
2019 W25 Namangan SF,W vs Talbi,1.14,2.03,38.6,2.3,0.0%,75.0%,0.0%,50.0%,54.5%,77.8%
2019 W25 Namangan QF,W vs Rakhimova,1.07,1.21,69.2,3.0,2.3%,56.8%,0.0%,47.4%,53.5%,54.1%
2019 W25 Namangan R32,W vs Cabaj Awad,1.13,1.14,76.5,8.7,2.1%,54.2%,0.0%,56.8%,39.2%,51.1%
2019 W25 Sunderland R16,L vs Andrei,0.90,0.80,62.3,2.0,7.3%,48.8%,0.0%,62.9%,45.9%,32.4%
2019 W25 Sunderland R32,W vs Lumsden,1.06,1.33,57.4,2.1,3.0%,54.5%,3.3%,66.7%,44.7%,55.6%
2019 W25 Kazan R32,L vs Dulgheru,0.87,0.69,51.0,2.2,0.0%,42.9%,0.0%,50.0%,46.7%,37.9%
2019 W25 Moscow QF,L vs Komardina,0.93,0.68,46.3,2.1,3.4%,44.8%,0.0%,40.7%,50.0%,32.0%
2019 W25 Glasgow SF,L vs Bolkvadze,0.88,0.80,60.5,2.5,-,60.0%,-,56.3%,34.1%,42.5%
2019 W25 Glasgow QF,W vs Pattinama Kerkhove,1.30,1.30,61.1,6.3,2.4%,56.1%,0.0%,57.9%,47.5%,38.2%
2019 W25 Glasgow R16,W vs Raducanu,1.20,1.17,69.4,9.0,2.5%,50.0%,0.0%,47.2%,44.0%,56.3%
2019 W25 Glasgow R32,W vs Georges,1.16,1.25,66.5,2.8,0.0%,55.0%,0.0%,68.4%,33.3%,50.0%
2019 W100 Midland MI R32,L vs Ahn,0.95,0.71,49.7,2.2,0.0%,51.6%,0.0%,42.9%,29.7%,48.6%
2019 Newport Beach R64,L vs Olmos,0.85,0.44,29.6,2.1,0.0%,46.2%,0.0%,29.2%,38.1%,25.0%
2021 (1 matches),,1.12,1.80,32.6,2.2,3.4%,65.5%,0.0%,74.1%,55.3%,42.1%
2019 (19 matches),,1.04,1.07,58.4,2.8,1.5%,54.4%,0.3%,54.2%,45.9%,47.6%
2018 (1 matches),,1.02,0.52,40.5,2.2,0.0%,40.0%,0.0%,45.5%,20.8%,40.0%
2017 (28 matches),,1.00,1.04,53.1,2.6,2.8%,53.5%,0.9%,55.5%,48.9%,45.3%
2016 (17 matches),,1.01,1.04,59.4,2.8,1.5%,51.5%,1.7%,58.4%,47.1%,46.0%
Career (97 matches),,1.01,1.01,56.9,2.7,1.8%,53.1%,1.0%,55.6%,45.5%,45.1%
