Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,10,6,4,60.0%,12-9,57.1%,97-96,50.3%,0-1,0.0%,10,64.0%,35.3%,2.4%,4.4%,62.5%,61.9%,44.1%,55.2%,44.0%,49.7%,0.98,SF (2x)
2025,5,2,3,40.0%,5-7,41.7%,53-60,46.9%,1-1,50.0%,5,54.2%,39.0%,3.1%,3.9%,63.4%,56.9%,41.7%,51.3%,44.6%,48.0%,0.92,QF (W15 Astana)
2024,27,12,15,44.4%,25-35,41.7%,253-295,46.2%,3-3,50.0%,2,54.2%,27.3%,2.4%,7.1%,67.3%,61.1%,38.2%,53.6%,37.5%,46.6%,0.81,F (W50 Murska Sobota)
2023,58,38,20,65.5%,83-53,61.0%,683-584,53.9%,9-4,69.2%,1,30.0%,40.0%,5.3%,8.8%,54.4%,61.3%,15.4%,40.4%,43.3%,41.9%,0.73,W (W40 Palma del Rio)
2022,44,27,17,61.4%,59-39,60.2%,483-404,54.5%,5-5,50.0%,0,,,,,,,,,,,,W (W25 Navi Mumbai)
2021,28,19,9,67.9%,44-24,64.7%,339-266,56.0%,3-2,60.0%,0,,,,,,,,,,,,W (W25+H Calvi)
2020,8,1,7,12.5%,5-15,25.0%,65-108,37.6%,1-0,100.0%,1,14.3%,84.6%,0.8%,4.0%,66.1%,43.9%,38.1%,41.9%,63.6%,50.9%,1.10,R16 (W25 Cherbourg-en-Cotentin)
2019,52,33,19,63.5%,69-44,61.1%,557-494,53.0%,9-6,60.0%,3,46.2%,38.5%,2.6%,5.2%,58.9%,56.6%,38.0%,49.0%,44.3%,46.6%,0.87,W (2x)
2018,33,20,13,60.6%,45-31,59.2%,365-335,52.1%,6-1,85.7%,0,,,,,,,,,,,,W (Pune $25K)
2017,42,25,17,59.5%,53-41,56.4%,448-403,52.6%,6-1,85.7%,0,,,,,,,,,,,,W (2x)
2016,40,26,14,65.0%,54-34,61.4%,440-332,57.0%,2-4,33.3%,0,,,,,,,,,,,,W (Heraklion $10K)
2015,7,3,4,42.9%,7-9,43.8%,71-68,51.1%,0-0,-,0,,,,,,,,,,,,SF (Karshi $25K)
2014,41,20,21,48.8%,44-50,46.8%,430-460,48.3%,7-7,50.0%,0,,,,,,,,,,,,F (Tunis 25K)
2013,5,0,5,0.0%,1-10,9.1%,29-65,30.9%,0-0,-,0,,,,,,,,,,,,R32 (5x)
2012,22,9,13,40.9%,22-33,40.0%,240-258,48.2%,1-1,50.0%,0,,,,,,,,,,,,SF (2x)
2011,38,24,14,63.2%,51-36,58.6%,419-381,52.4%,4-4,50.0%,0,,,,,,,,,,,,W (Johannesburg 100K)
2010,40,21,19,52.5%,45-42,51.7%,404-383,51.3%,5-3,62.5%,0,,,,,,,,,,,,F (2x)
2009,40,21,19,52.5%,47-46,50.5%,415-425,49.4%,4-4,50.0%,0,,,,,,,,,,,,SF (3x)
2008,27,17,10,63.0%,38-23,62.3%,300-259,53.7%,2-1,66.7%,0,,,,,,,,,,,,F (2x)
2007,7,3,4,42.9%,7-11,38.9%,76-90,45.8%,2-1,66.7%,0,,,,,,,,,,,,R16 (3x)
Career,574,327,247,57.0%,716-592,54.7%,6167-5766,51.7%,70-49,58.8%,22,53.4%,39.1%,2.6%,4.8%,62.8%,58.3%,40.3%,51.6%,44.8%,48.3%,0.93,
