Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,5,3,2,60.0%,2,2,0,100.0%,2024,2025,R32,5,1.16,11.6%,4.5%,62.3%,78.4%,53.4%,69.0%,35.9%,56.3%,36.6%
Roland Garros,5,Clay,8,3,5,37.5%,6,4,2,66.7%,2021,2025,R32,7,0.95,4.1%,3.6%,62.2%,62.0%,49.3%,57.2%,40.7%,47.6%,35.8%
Wimbledon,2,Grass,5,3,2,60.0%,2,1,1,50.0%,2023,2024,R16,5,0.91,6.9%,5.3%,61.9%,71.0%,48.1%,62.3%,34.2%,59.3%,33.3%
US Open,2,Hard,4,2,2,50.0%,2,1,1,50.0%,2023,2024,R64,4,1.02,8.8%,2.9%,61.3%,75.2%,46.3%,64.0%,36.5%,62.8%,42.9%
Olympics,1,,1,0,1,0.0%,1,0,1,0.0%,2024,2024,R64,1,0.76,4.0%,0.0%,73.3%,72.7%,50.0%,66.7%,25.4%,83.3%,0.0%
Davis Cup,3,,5,2,3,40.0%,3,0,3,0.0%,2023,2025,,4,1.08,12.7%,3.8%,63.0%,77.5%,49.6%,67.2%,35.3%,60.0%,32.4%
Miami Masters,3,Hard,10,7,3,70.0%,6,3,3,50.0%,2024,2026,SF,10,1.07,8.3%,3.2%,66.1%,74.8%,57.1%,68.8%,33.5%,68.1%,40.8%
Indian Wells Masters,3,Hard,11,8,3,72.7%,4,3,1,75.0%,2024,2026,QF,11,1.11,6.3%,3.0%,60.1%,72.9%,57.4%,66.7%,37.0%,63.5%,43.5%
Rotterdam,2,Hard,3,1,2,33.3%,2,0,2,0.0%,2025,2026,R16,3,0.92,8.7%,2.5%,59.4%,67.1%,52.7%,61.2%,35.7%,63.6%,52.6%
Montpellier,2,Hard,7,5,2,71.4%,4,3,1,75.0%,2023,2026,SF,7,0.99,11.2%,3.9%,63.8%,73.0%,55.1%,66.5%,33.0%,55.2%,36.6%
Canada Masters,2,Hard,3,1,2,33.3%,0,0,0,-,2024,2025,R32,3,1.00,5.7%,3.1%,66.1%,71.7%,50.8%,64.6%,35.5%,56.3%,36.4%
Rome Masters,3,Clay,8,5,3,62.5%,2,1,1,50.0%,2023,2025,R16,8,1.02,5.1%,3.7%,59.1%,67.9%,51.9%,61.3%,39.6%,61.1%,37.5%
