Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,80.0%,0.0%,16.4%,9.8%,52.5%,84.4%,41.4%,63.9%,13.7%,41.1%,0.38,R32 (Brasilia)
2019,2,0,2,0.0%,0-4,0.0%,9-24,27.3%,0-0,-,2,31.3%,23.5%,2.2%,7.9%,58.4%,46.2%,35.1%,41.6%,36.7%,39.0%,0.63,R64 (2x)
2017,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,1,28.6%,0.0%,2.5%,12.5%,40.0%,62.5%,29.2%,42.5%,9.7%,28.2%,0.17,R32 (Floridablanca)
2016,6,2,4,33.3%,6-9,40.0%,72-76,48.6%,0-3,0.0%,6,80.8%,18.1%,6.9%,3.7%,66.0%,68.5%,51.6%,62.8%,35.6%,49.4%,0.96,R16 (2x)
2015,19,7,12,36.8%,15-29,34.1%,182-235,43.6%,4-2,66.7%,18,67.2%,20.1%,5.6%,5.3%,61.1%,66.3%,46.5%,58.6%,35.1%,47.0%,0.85,W (Cali)
2014,7,0,7,0.0%,0-14,0.0%,38-87,30.4%,0-3,0.0%,7,46.7%,16.1%,3.1%,5.0%,58.0%,56.2%,40.0%,49.4%,33.2%,41.7%,0.66,R32 (7x)
2013,11,5,6,45.5%,11-12,47.8%,107-108,49.8%,1-3,25.0%,11,72.0%,27.9%,6.6%,6.1%,60.1%,70.3%,48.1%,61.4%,39.9%,50.5%,1.03,QF (2x)
2012,19,9,10,47.4%,20-25,44.4%,210-222,48.6%,3-1,75.0%,19,73.3%,22.7%,6.1%,5.4%,63.0%,67.3%,49.1%,60.5%,38.4%,49.7%,0.97,SF (Santiago)
2011,23,7,16,30.4%,17-35,32.7%,198-271,42.2%,2-3,40.0%,23,66.1%,19.1%,4.3%,4.7%,65.6%,63.6%,47.2%,58.0%,35.7%,47.0%,0.85,F (Bucaramanga)
2010,7,2,5,28.6%,6-11,35.3%,68-91,42.8%,2-1,66.7%,7,69.2%,15.4%,4.6%,5.0%,59.2%,68.2%,44.3%,58.5%,32.4%,46.0%,0.78,R16 (2x)
2009,2,1,1,50.0%,2-2,50.0%,17-18,48.6%,1-0,100.0%,0,,,,,,,,,,,,R16 (Santiago2)
2007,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,0,,,,,,,,,,,,R32 (Campos Do Jordao1)
Career,99,33,66,33.3%,77-147,34.4%,919-1170,44.0%,13-16,44.8%,95,68.0%,20.2%,5.4%,5.2%,62.2%,65.8%,46.6%,58.6%,35.9%,47.5%,0.87,
