Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
12,Tiago Lopes [BRA],9,3,75.0%,5,2,3,40.0%,2008,2016,3,1.29,6.6%,8.7%,60.7%,80.7%,49.4%,68.4%,40.8%,87.5%,40.9%
12,Daniel Dutra Da Silva [BRA],3,9,25.0%,4,1,3,25.0%,2008,2015,2,1.06,2.0%,6.7%,59.7%,61.8%,48.3%,56.4%,46.3%,60.0%,35.7%
11,Carlos Eduardo Severino [BRA],7,4,63.6%,2,1,1,50.0%,2009,2017,1,0.59,5.9%,3.9%,49.0%,60.0%,30.8%,45.1%,32.6%,37.5%,33.3%
9,Jose Pereira [BRA],7,2,77.8%,3,3,0,100.0%,2008,2013,1,0.63,3.3%,10.0%,66.7%,62.5%,40.0%,55.0%,28.6%,20.0%,33.3%
8,Andre Miele [BRA],6,2,75.0%,2,1,1,50.0%,2006,2013,0,,,,,,,,,,
8,Diego Matos [BRA],8,0,100.0%,2,1,1,50.0%,2008,2012,0,,,,,,,,,,
8,Leonardo Kirche [BRA],3,5,37.5%,1,1,0,100.0%,2008,2012,1,0.81,2.8%,2.8%,84.3%,68.1%,58.8%,66.7%,27.1%,88.9%,66.7%
8,Marcelo Demoliner [BRA],6,2,75.0%,4,2,2,50.0%,2008,2012,1,0.60,0.0%,4.5%,61.4%,48.1%,52.9%,50.0%,29.8%,42.9%,0.0%
8,Rodrigo Guidolin [BRA],5,3,62.5%,4,1,3,25.0%,2007,2010,0,,,,,,,,,,
7,Fabricio Neis [BRA],6,1,85.7%,2,2,0,100.0%,2010,2014,0,,,,,,,,,,
7,Thales Turini [BRA],5,2,71.4%,0,0,0,-,2007,2016,0,,,,,,,,,,
7,Gustavo Junqueira De Andrade [BRA],7,0,100.0%,0,0,0,-,2008,2009,0,,,,,,,,,,
6,Pedro Sakamoto [BRA],2,4,33.3%,1,0,1,0.0%,2011,2020,3,0.95,7.9%,8.5%,65.5%,69.4%,38.6%,58.8%,39.1%,57.9%,44.4%
6,Ricardo Hocevar [BRA],3,3,50.0%,2,1,1,50.0%,2010,2016,1,0.67,3.4%,2.3%,58.0%,68.6%,51.4%,61.4%,25.9%,50.0%,40.0%
6,Bruno Santanna [BRA],3,3,50.0%,2,1,1,50.0%,2011,2015,2,1.09,6.0%,1.3%,72.0%,71.3%,66.7%,70.0%,32.6%,50.0%,50.0%
