Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2014 US Open R128,L vs Sharapova,91.8,94.4,3.6,,,101,84,82.6,4.3,,,89,76
2014 Wimbledon R128,W vs Stephens,88.3,89.5,6.6,,,99,67,79.9,5.0,,,85,70
2014 Roland Garros R128,L vs Larsson,85.9,92.2,5.1,,,100,80,77.8,4.5,,,86,70
2013 US Open R32,L vs Halep,92.2,,,,,106,,,,,,,80
2013 Wimbledon R128,L vs Robson,95.1,,,,,105,,,,,,,84
2013 Roland Garros QF,L vs Azarenka,97.1,,,,,109,,,,,,,80
2013 Roland Garros R16,W vs Mattek Sands,95.0,,,,,105,,,,,,,77
2013 Roland Garros R32,W vs Voegele,93.7,,,,,106,,,,,,,75
2013 Roland Garros R64,W vs Barty,93.1,,,,,100,,,,,,,79
2013 Australian Open R16,L vs Williams,97.3,,,,,105,,,,,,,82
2013 Australian Open R32,W vs Wickmayer,96.5,,,,,108,,,,,,,80
2013 Australian Open R64,W vs Peng,95.9,,,,,108,,,,,,,83
2013 Australian Open R128,W vs King,93.9,,,,,107,,,,,,,74
2012 US Open R32,L vs Hlavackova,95.6,,,,,109,,,,,,,80
2012 US Open R64,W vs Arn,93.2,,,,,105,,,,,,,79
2012 US Open R128,W vs Scheepers,96.6,,,,,108,,,,,,,86
2012 Wimbledon QF,L vs Radwanska,94.5,,,,,105,,,,,,,80
2012 Wimbledon R16,W vs Peng,92.5,,,,,104,,,,,,,75
2012 Wimbledon R32,W vs Cirstea,96.2,,,,,106,,,,,,,83
2012 Roland Garros R64,L vs Koukalova,94.0,,,,,104,,,,,,,77
Career (31 matches),,92.2,91.2,4.4,,,109,67,79.5,3.5,,,90,67
