Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,28,18,10,64.3%,5,4,1,80.0%,2004,2013,QF,24,1.05,3.3%,4.2%,67.0%,64.3%,47.3%,58.7%,43.5%,59.4%,39.5%
Roland Garros,11,Clay,27,16,11,59.3%,6,4,2,66.7%,2004,2014,QF,26,1.14,2.9%,4.5%,64.4%,65.6%,46.7%,58.9%,46.9%,55.8%,43.4%
Wimbledon,12,Grass,23,11,12,47.8%,4,2,2,50.0%,2003,2014,QF,19,1.00,5.0%,3.1%,70.3%,64.2%,48.7%,59.6%,40.4%,56.9%,43.1%
US Open,12,Hard,34,22,12,64.7%,6,5,1,83.3%,2003,2014,R16,23,1.01,3.0%,6.0%,61.1%,64.1%,48.7%,58.1%,42.4%,48.7%,44.7%
Olympics,1,,6,4,2,66.7%,2,2,0,100.0%,2012,2012,BR,5,1.27,4.5%,1.2%,69.3%,67.5%,73.3%,69.3%,39.0%,33.3%,50.0%
Fed Cup,3,,5,2,3,40.0%,1,1,0,100.0%,2006,2013,,0,,,,,,,,,,
Indian Wells,10,Hard,26,16,10,61.5%,2,1,1,50.0%,2004,2013,SF,17,0.97,2.2%,5.1%,62.6%,61.2%,46.0%,55.5%,43.2%,56.5%,43.5%
Miami,10,Hard,22,12,10,54.5%,8,4,4,50.0%,2004,2013,R16,15,1.03,2.9%,5.3%,61.1%,61.9%,45.6%,55.5%,46.0%,48.3%,43.0%
Rome,10,Clay,18,8,10,44.4%,2,0,2,0.0%,2003,2014,QF,14,0.97,1.7%,4.4%,63.8%,58.8%,47.4%,54.7%,44.0%,55.1%,45.5%
Seoul,8,Hard,24,17,7,70.8%,4,1,3,25.0%,2006,2014,W,19,1.16,2.9%,5.7%,60.7%,63.7%,45.1%,56.4%,50.4%,54.1%,49.5%
New Haven,8,Hard,20,11,9,55.0%,4,2,2,50.0%,2004,2012,F,11,1.13,2.9%,4.8%,65.1%,66.9%,46.5%,59.8%,45.4%,52.4%,61.4%
Beijing,8,Hard,20,13,7,65.0%,4,3,1,75.0%,2005,2014,W,15,1.06,2.7%,4.1%,65.7%,62.9%,47.3%,57.6%,45.0%,49.6%,51.2%
