Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2013 US Open R32,L vs Halep,3.9,3.9,4.0,31.8%,27.8%,50.0%,14.3%,50.8%,9.4%,-4.5,-7.1,-13.0,-23.2
2013 Australian Open R16,L vs Williams,3.7,4.3,3.1,32.6%,25.0%,36.4%,50.0%,48.7%,27.6%,-0.5,-1.1,-5.0,-12.8
2012 Olympics BR,L vs Azarenka,5.4,5.6,5.3,43.5%,45.5%,40.0%,50.0%,51.9%,17.8%,6.0,4.6,5.5,5.2
2012 Olympics SF,L vs Sharapova,3.7,4.3,3.2,38.7%,48.1%,50.0%,28.6%,56.7%,24.6%,-4.5,-6.2,-2.0,-4.3
2012 Wimbledon QF,L vs Radwanska,4.6,4.9,4.2,49.1%,59.3%,30.3%,45.5%,48.3%,29.0%,6.5,4.4,7.0,4.9
2010 Australian Open R128,W vs Sharapova,4.2,4.6,3.8,52.0%,35.7%,64.5%,52.4%,51.4%,12.5%,10.5,5.5,13.0,7.7
Career (6 matches),,4.3,4.6,4.0,44.5%,43.3%,45.5%,44.4%,50.9%,20.3%,2.3,2.1,0.9,1.0
