Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),31,1500,35,1842,40,1781,30,1794,83,1601,,,,
2025,59,895,58,1780,53,1744,56,1721,105,1569,,,,
2024,39,1315,58,1778,60,1722,40,1754,119,1549,217,315,,
2023,30,1375,65,1766,75,1678,37,1745,113,1549,,,,
2022,79,649,145,1629,189,1512,110,1622,158,1482,,,,
2021,130,556,118,1670,263,1408,90,1659,123,1539,,,,
2020,257,212,227,1467,264,1325,189,1467,,,340,153,,
2019,341,115,412,1320,402,1286,366,1306,,,460,90,,
2018,641,1,,,,,,,,,733,3,,
2017,1029,9,,,,,,,,,,,,
2016,1759,1,,,,,,,,,,,,
