Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,96,44,52,45.8%,123-134,47.9%,1283-1329,49.1%,30-34,46.9%,92,81.4%,17.3%,9.2%,2.0%,65.3%,72.0%,51.3%,64.8%,34.9%,49.7%,0.99
Clay,101,55,46,54.5%,128-112,53.3%,1226-1154,51.5%,20-22,47.6%,99,80.0%,23.3%,6.7%,2.2%,64.0%,70.1%,51.2%,63.3%,38.3%,50.7%,1.04
Grass,14,4,10,28.6%,18-27,40.0%,217-232,48.3%,1-5,16.7%,14,81.4%,16.5%,7.9%,2.5%,66.5%,71.7%,50.4%,64.6%,32.9%,49.1%,0.93
Grand Slams,35,18,17,51.4%,63-64,49.6%,617-604,50.5%,6-10,37.5%,35,80.6%,21.4%,8.2%,2.0%,65.6%,71.3%,51.1%,64.4%,36.6%,50.5%,1.03
Masters,43,17,26,39.5%,41-60,40.6%,481-551,46.6%,13-16,44.8%,43,77.0%,17.1%,8.2%,2.0%,63.6%,69.2%,50.5%,62.4%,35.0%,48.7%,0.93
Other Tours,125,62,63,49.6%,153-144,51.5%,1533-1476,50.9%,28-35,44.4%,124,81.9%,20.2%,7.9%,2.2%,64.8%,71.7%,51.5%,64.6%,36.5%,50.5%,1.03
Best of 5,35,18,17,51.4%,63-64,49.6%,617-604,50.5%,6-10,37.5%,35,80.6%,21.4%,8.2%,2.0%,65.6%,71.3%,51.1%,64.4%,36.6%,50.5%,1.03
Best of 3,176,85,91,48.3%,206-209,49.6%,2109-2111,50.0%,45-51,46.9%,170,80.8%,19.4%,7.9%,2.1%,64.6%,71.1%,51.2%,64.0%,36.2%,50.0%,1.01
Finals,4,1,3,25.0%,4-7,36.4%,59-63,48.4%,2-4,33.3%,4,82.5%,16.9%,8.7%,3.3%,64.3%,68.4%,55.4%,63.8%,32.2%,48.2%,0.89
Semi-finals,9,4,5,44.4%,11-11,50.0%,119-114,51.1%,3-2,60.0%,9,86.0%,15.8%,7.5%,2.2%,60.4%,74.6%,54.7%,66.7%,33.5%,50.0%,1.01
Quarter-finals,20,9,11,45.0%,25-23,52.1%,233-234,49.9%,4-3,57.1%,20,80.7%,17.7%,7.1%,1.8%,63.9%,70.7%,48.0%,62.5%,35.6%,49.4%,0.95
vs Righties,185,90,95,48.6%,233-244,48.8%,2386-2399,49.9%,43-55,43.9%,179,80.5%,19.7%,8.0%,2.1%,64.4%,71.2%,51.1%,64.0%,36.1%,50.0%,1.00
vs Lefties,25,12,13,48.0%,34-29,54.0%,327-307,51.6%,8-6,57.1%,25,81.9%,21.0%,8.0%,2.1%,67.4%,70.6%,51.7%,64.4%,37.1%,50.7%,1.04
vs Top 10,18,0,18,0.0%,7-40,14.9%,194-280,40.9%,3-9,25.0%,17,73.6%,10.3%,8.3%,1.9%,63.5%,70.8%,47.2%,62.2%,31.0%,46.4%,0.82
