Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Rio de Janeiro F,W vs Tabilo,0.0%,-,14.6%,61.3%,11.8%,11.8%,6.7%,6.4%,25.0%,1.1%,40.0%,-3,5
2026 Australian Open R128,W vs Kecmanovic,1.0%,100.0%,7.7%,77.3%,13.1%,17.5%,10.5%,5.5%,30.0%,2.1%,53.8%,-87,-54
2026 Hong Kong R16,L vs Musetti,7.1%,83.3%,11.6%,63.6%,7.2%,10.3%,3.3%,1.7%,7.1%,2.2%,30.0%,-76,-65
2025 Davis Cup Qualifiers RR,W vs De Jong,0.0%,-,18.3%,70.8%,11.4%,21.4%,10.5%,7.8%,50.0%,0.7%,100.0%,-102,-78
2025 Hamburg R32,W vs Comesana,2.8%,100.0%,15.0%,76.2%,12.0%,12.7%,14.3%,3.3%,28.6%,0.4%,0.0%,-39,-39
2025 Buenos Aires R32,L vs Fonseca,0.0%,-,3.5%,100.0%,10.8%,7.4%,0.0%,8.6%,50.0%,0.6%,0.0%,-76,-91
2024 United Cup RR,L vs De Minaur,0.0%,-,4.1%,50.0%,8.8%,15.4%,0.0%,6.1%,20.0%,0.0%,-,-104,-117
2024 Shanghai R64,W vs Van De Zandschulp,1.6%,50.0%,18.7%,64.6%,7.3%,6.7%,5.3%,5.1%,22.2%,0.6%,25.0%,-105,-97
2024 US Open R128,W vs Mpetshi Perricard,2.0%,100.0%,6.9%,90.9%,15.7%,20.0%,0.0%,2.5%,33.3%,0.6%,100.0%,-83,-55
2024 Canada R32,L vs Rublev,0.0%,-,0.8%,100.0%,9.2%,10.7%,9.1%,2.7%,18.2%,0.5%,0.0%,-63,-67
2024 Roland Garros R128,W vs Cazaux,3.9%,50.0%,15.3%,66.7%,12.6%,15.7%,10.0%,5.9%,20.0%,1.8%,44.4%,-97,-84
2024 Lyon F,L vs Mpetshi Perricard,0.0%,-,5.0%,100.0%,17.6%,24.2%,0.0%,5.7%,20.0%,0.7%,50.0%,-37,-15
2024 Lyon SF,W vs Darderi,0.0%,-,14.3%,73.3%,15.1%,14.3%,12.5%,7.1%,57.1%,0.5%,100.0%,-83,-59
2024 Rome R32,L vs Hurkacz,0.0%,-,16.8%,87.5%,9.9%,17.5%,0.0%,5.3%,30.0%,2.3%,57.1%,-50,-55
2024 Barcelona R16,W vs Nakashima,2.3%,50.0%,12.8%,78.6%,12.8%,13.2%,0.0%,6.6%,29.2%,1.8%,44.4%,-65,-54
2024 Monte Carlo R32,L vs Tsitsipas,0.0%,-,5.8%,60.0%,8.3%,20.8%,0.0%,1.8%,25.0%,0.5%,100.0%,-92,-92
2024 Australian Open R32,L vs Djokovic,0.0%,-,8.7%,56.3%,5.9%,11.1%,20.0%,4.3%,16.7%,0.7%,66.7%,-121,-93
2024 Australian Open R128,W vs Murray,0.0%,-,7.4%,75.0%,11.7%,24.1%,0.0%,3.3%,22.2%,2.3%,62.5%,-58,-37
2023 Paris R32,L vs Djokovic,0.0%,-,12.7%,53.8%,6.5%,11.1%,11.1%,6.3%,40.0%,0.0%,-,-102,-89
2023 Roland Garros QF,L vs Zverev,0.9%,100.0%,8.2%,84.2%,9.8%,20.7%,4.5%,3.6%,16.7%,2.2%,58.3%,-60,-62
Career (32 matches),,1.1%,76.9%,10.4%,70.0%,10.6%,14.3%,6.3%,4.9%,24.6%,1.2%,43.5%,-76,-59
