Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,11,7,4,63.6%,14-9,60.9%,110-86,56.1%,0-1,0.0%,11,67.7%,44.6%,3.1%,3.1%,67.8%,63.2%,51.1%,59.3%,47.8%,53.3%,1.17,F (WTA Charleston)
2025,26,9,17,34.6%,22-36,37.9%,248-287,46.4%,3-3,50.0%,26,59.8%,32.4%,1.3%,4.1%,61.2%,59.5%,45.0%,53.9%,42.3%,48.0%,0.92,R16 (2x)
2024,15,7,8,46.7%,18-17,51.4%,157-163,49.1%,2-2,50.0%,15,59.1%,38.9%,1.8%,2.4%,66.0%,58.5%,44.6%,53.8%,46.0%,50.0%,1.00,QF (2x)
Career,52,23,29,44.2%,54-62,46.6%,515-536,49.0%,5-6,45.5%,52,61.1%,36.6%,1.7%,3.4%,63.9%,59.9%,45.8%,54.8%,44.4%,49.6%,0.98,
