Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2012,1107,4,,,,,,,,,,,,
2011,438,87,,,,,,,,,,,,
2010,83,778,98,1712,133,1585,68,1693,88,1588,,,,
2009,182,308,154,1580,165,1489,124,1566,116,1521,,,,
2008,185,164,152,1594,152,1544,141,1528,99,1540,,,,
2007,141,246,115,1637,108,1594,114,1570,106,1518,,,,
2006,108,272,111,1664,130,1575,74,1639,96,1547,,,,
2005,78,432,72,1746,102,1618,51,1735,88,1562,,,,
2004,129,270,150,1581,188,1452,127,1565,134,1492,,,,
2003,88,426,94,1716,155,1494,56,1735,98,1542,,,,
2002,129,255,110,1652,172,1470,93,1632,103,1543,,,,
2001,198,137,,,,,,,,,,,,
2000,213,112,,,,,,,,,,,,
1999,324,51,,,,,,,,,,,,
1998,247,78,,,,,,,,,,,,
1997,786,5,,,,,,,,,,,,
