Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),1540,3,,,,,,,,,,,,
2025,1445,4,,,,,,,,,,,,
2024,353,142,,,,,,,,,813,49,,
2023,709,38,,,,,,,,,,,,
2022,503,70,285,1458,288,1394,246,1444,150,1490,,,,
2021,242,255,231,1512,247,1429,193,1503,174,1478,,,,
2020,252,219,259,1423,230,1426,247,1365,,,878,33,,
2019,214,232,236,1504,214,1479,245,1440,,,845,33,,
2018,245,190,260,1468,239,1435,246,1430,,,290,155,,
2017,242,215,303,1404,356,1249,217,1463,,,,,,
2016,785,23,,,,,,,,,,,,
2015,2013,1,,,,,,,,,,,,
