Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,9,4,5,44.4%,9-10,47.4%,86-90,48.9%,1-1,50.0%,9,76.7%,22.5%,6.1%,2.0%,58.2%,69.7%,55.0%,63.6%,38.1%,50.0%,1.05,QF (Glasgow)
2023,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,54.5%,36.4%,1.2%,6.2%,59.3%,60.4%,33.3%,49.4%,42.4%,46.3%,0.84,R32 (Meerbusch)
2022,27,11,16,40.7%,27-32,45.8%,284-310,47.8%,8-4,66.7%,27,74.5%,19.8%,5.7%,3.0%,58.0%,67.5%,53.8%,61.8%,36.5%,49.0%,0.95,QF (Tunis)
2021,32,13,19,40.6%,29-36,44.6%,290-320,47.5%,1-3,25.0%,31,71.1%,24.5%,4.3%,2.5%,60.9%,63.9%,51.7%,59.2%,38.8%,48.9%,0.95,SF (Szczecin)
2020,12,4,8,33.3%,11-17,39.3%,119-150,44.2%,4-1,80.0%,12,60.9%,26.0%,4.2%,3.5%,58.7%,62.0%,46.2%,55.5%,39.0%,47.5%,0.88,SF (Koblenz )
2019,41,24,17,58.5%,53-43,55.2%,466-455,50.6%,9-3,75.0%,41,73.4%,27.5%,4.5%,3.4%,63.0%,67.6%,48.7%,60.6%,40.3%,50.4%,1.02,W (Segovia)
2018,35,17,18,48.6%,37-38,49.3%,366-371,49.7%,7-7,50.0%,35,79.2%,21.4%,4.1%,3.3%,62.9%,67.1%,52.8%,61.8%,38.2%,49.8%,1.00,F (2x)
2017,12,8,4,66.7%,14-13,51.9%,147-142,50.9%,4-3,57.1%,11,78.5%,23.6%,3.5%,3.2%,62.0%,67.0%,56.9%,63.2%,39.7%,50.9%,1.08,W (Braunschweig)
2016,2,1,1,50.0%,2-3,40.0%,19-24,44.2%,0-0,-,2,54.5%,33.3%,0.7%,3.6%,67.6%,53.2%,46.7%,51.1%,43.8%,47.3%,0.89,R16 (Meerbusch)
Career,171,82,89,48.0%,182-194,48.4%,1787-1875,48.8%,34-23,59.6%,169,73.6%,24.0%,4.5%,3.1%,61.2%,66.3%,51.5%,60.5%,38.8%,49.6%,0.98,
