Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2025 Australian Open Q3,L vs Kudermetova,34.7%,41.7%,32.5%,41.9%,46.5%,36.0%,50.0%,66.7%,50.0%,31.8%,45.5%,26.7%,0.0%,66.7%,50.0%,159
2024 W50 Palma Del Rio Q2,L vs Tian,11.5%,19.7%,40.0%,15.8%,26.3%,40.6%,57.9%,36.8%,33.3%,5.3%,10.5%,38.9%,60.0%,0.0%,0.0%,-69
Career (2 matches),,24.1%,31.6%,36.7%,29.6%,37.0%,38.6%,53.7%,52.5%,37.5%,19.5%,29.3%,33.3%,35.3%,41.7%,33.3%,58
