Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2023-12-04),1332,4,,,,,,,,,,,,
2022,612,53,,,,,,,,,,,,
2021,411,131,,,,,,,,,,,,
2020,310,186,,,,,,,,,1033,20,,
2019,315,173,,,,,,,,,1047,17,,
2018,317,136,,,,,,,,,,,,
2017,343,127,,,,,,,,,,,,
2015,496,56,,,,,,,,,971,17,,
2014,624,31,,,,,,,,,1026,12,,
2013,926,15,,,,,,,,,,,,
2012,1146,3,,,,,,,,,,,,
2011,1005,10,,,,,,,,,872,22,,
