Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1988,362,,,,,,,,,,,,,
1987,233,1,,,,,,,,,,,,
1986,184,2,,,,,,,,,,,,
1985,,,44,1793,61,1652,25,1800,45,1679,,,,
1984,87,,33,1838,40,1696,21,1825,33,1709,,,,
1983,,,20,1921,20,1756,14,1889,23,1768,,,,
1982,,,15,1915,22,1729,13,1857,17,1756,,,,
1981,,,10,1985,11,1798,11,1896,10,1845,,,,
1980,,,15,1904,13,1774,13,1820,17,1774,,,,
1979,,,19,1827,19,1689,12,1801,21,1697,,,,
1978,,,13,1865,18,1700,6,1876,13,1750,,,,
1977,,,7,1946,11,1724,3,1947,10,1805,,,,
1976,,,7,1972,11,1740,3,1970,8,1843,,,,
1975,,,25,1829,26,1675,14,1799,17,1776,,,,
1974,,,20,1860,17,1707,22,1772,18,1765,,,,
