Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,36,26,10,72.2%,52-28,65.0%,425-330,56.3%,5-3,62.5%,34,73.1%,40.1%,5.7%,4.6%,58.2%,68.2%,47.4%,59.5%,44.9%,52.3%,1.11
Clay,19,16,3,84.2%,33-8,80.5%,234-159,59.5%,6-1,85.7%,19,74.6%,43.5%,4.1%,3.5%,60.6%,66.1%,49.1%,59.4%,48.1%,53.8%,1.18
Grass,5,3,2,60.0%,7-4,63.6%,60-48,55.6%,0-2,0.0%,5,75.9%,36.5%,4.2%,5.7%,59.2%,73.0%,48.1%,62.8%,43.0%,52.6%,1.16
Grand Slams,15,11,4,73.3%,22-9,71.0%,167-127,56.8%,5-1,83.3%,15,71.2%,42.3%,4.1%,5.0%,56.8%,66.5%,47.8%,58.4%,46.8%,52.6%,1.12
Premiers,2,1,1,50.0%,3-2,60.0%,29-25,53.7%,0-1,0.0%,2,81.5%,26.9%,5.3%,4.1%,65.3%,75.7%,47.5%,65.9%,37.6%,51.9%,1.10
Internationals,10,10,0,100.0%,20-1,95.2%,131-74,63.9%,4-1,80.0%,10,81.2%,45.5%,4.7%,2.3%,63.3%,68.5%,52.2%,62.5%,48.3%,55.4%,1.29
Finals,3,2,1,66.7%,4-2,66.7%,32-31,50.8%,2-0,100.0%,3,80.6%,16.7%,6.7%,4.9%,61.4%,70.8%,45.3%,61.0%,37.0%,49.6%,0.95
Semi-finals,6,3,3,50.0%,6-7,46.2%,65-63,50.8%,1-1,50.0%,6,69.4%,32.8%,4.9%,4.4%,59.3%,64.4%,48.1%,57.8%,43.1%,50.6%,1.02
Quarter-finals,9,6,3,66.7%,13-9,59.1%,110-93,54.2%,1-2,33.3%,9,69.4%,39.2%,4.1%,3.4%,62.0%,66.4%,45.3%,58.4%,44.6%,51.6%,1.07
vs Righties,55,41,14,74.5%,83-38,68.6%,651-484,57.4%,7-5,58.3%,53,73.8%,41.5%,4.9%,4.4%,59.1%,67.4%,48.3%,59.6%,45.9%,52.8%,1.14
vs Lefties,7,6,1,85.7%,13-2,86.7%,93-68,57.8%,5-1,83.3%,5,74.6%,35.1%,5.9%,4.2%,59.2%,71.9%,45.5%,61.1%,45.2%,53.2%,1.16
vs Top 10,13,6,7,46.2%,13-17,43.3%,144-145,49.8%,1-2,33.3%,12,66.4%,34.9%,4.2%,4.4%,60.0%,63.2%,44.3%,55.6%,42.9%,49.5%,0.97
