Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1999,2,0,2,0.0%,1-4,20.0%,20-25,44.4%,0-0,-,2,68.2%,21.7%,3.2%,5.6%,55.2%,69.6%,46.4%,59.2%,36.4%,47.5%,0.89,R32 (Newport)
1998,21,10,11,47.6%,24-23,51.1%,229-223,50.7%,3-2,60.0%,20,77.7%,23.3%,6.6%,4.3%,54.1%,70.9%,50.6%,61.6%,37.8%,50.2%,0.98,R16 (4x)
1997,11,6,5,54.5%,17-16,51.5%,162-151,51.8%,3-3,50.0%,9,80.0%,20.7%,7.2%,5.5%,60.7%,75.3%,45.0%,63.4%,35.4%,49.8%,0.97,QF (Chennai)
1996,58,33,25,56.9%,82-63,56.6%,753-684,52.4%,12-14,46.2%,48,79.6%,22.8%,6.5%,4.3%,58.5%,72.1%,50.6%,63.2%,37.7%,50.4%,1.02,W (Bermuda)
1995,56,28,28,50.0%,70-67,51.1%,686-642,51.7%,9-7,56.3%,55,79.0%,25.4%,8.1%,3.4%,59.7%,72.7%,49.8%,63.4%,39.4%,51.2%,1.08,F (2x)
1994,59,36,23,61.0%,87-72,54.7%,802-733,52.2%,11-16,40.7%,58,78.7%,26.6%,7.1%,3.5%,60.9%,70.4%,52.8%,63.5%,39.2%,51.1%,1.07,W (Ostrava)
1993,62,39,23,62.9%,92-66,58.2%,813-719,53.1%,12-11,52.2%,58,80.8%,24.5%,6.3%,4.2%,57.2%,73.4%,52.0%,64.3%,39.0%,51.4%,1.09,F (2x)
1992,68,47,21,69.1%,113-56,66.9%,893-735,54.9%,14-12,53.8%,68,81.1%,28.6%,6.5%,3.8%,58.8%,71.9%,52.3%,63.8%,40.1%,51.9%,1.11,W (2x)
1991,58,36,22,62.1%,85-59,59.0%,774-644,54.6%,12-13,48.0%,55,82.6%,26.6%,7.5%,3.9%,61.0%,71.8%,54.0%,64.9%,39.6%,52.0%,1.13,SF (5x)
1990,30,13,17,43.3%,32-36,47.1%,317-320,49.8%,2-6,25.0%,1,76.9%,23.1%,2.2%,5.5%,58.2%,67.9%,50.0%,60.4%,37.5%,49.7%,0.95,SF (2x)
1989,7,2,5,28.6%,8-11,42.1%,86-92,48.3%,0-2,0.0%,0,,,,,,,,,,,,R32 (4x)
1988,4,1,3,25.0%,4-4,50.0%,37-36,50.7%,0-2,0.0%,0,,,,,,,,,,,,R32 (2x)
Career,436,251,185,57.6%,615-477,56.3%,5572-5004,52.7%,78-88,47.0%,374,80.1%,25.6%,6.9%,3.9%,59.1%,72.0%,51.7%,63.7%,39.0%,51.2%,1.07,
