Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1996 Wimbledon F,L vs Krajicek,23.9%,42.0%,43.1%,31.9%,22.8%,45.6%,50.0%,35.3%,53.8%,41.9%,60.0%,27.6%,37.9%,28.6%,19
1996 Wimbledon SF,W vs Martin,28.5%,44.6%,50.5%,36.8%,36.0%,58.6%,53.5%,50.0%,44.4%,39.4%,100.0%,24.5%,34.0%,45.0%,51
1995 Stockholm R16,L vs Edberg,26.0%,36.4%,41.8%,30.6%,34.2%,50.0%,40.0%,43.7%,44.4%,60.0%,100.0%,18.9%,24.3%,43.3%,-1
1995 Essen F,L vs Muster,26.8%,40.2%,52.7%,35.8%,39.1%,55.1%,64.3%,55.8%,46.4%,43.9%,25.0%,12.5%,23.2%,42.9%,-27
1995 Essen SF,W vs Boetsch,46.3%,55.6%,58.6%,51.1%,52.9%,64.7%,50.0%,60.6%,40.0%,28.6%,0.0%,35.0%,40.0%,69.2%,-79
1995 Canada QF,W vs Agassi,27.5%,37.7%,52.1%,32.2%,41.2%,52.9%,65.0%,50.6%,53.3%,42.1%,100.0%,15.2%,24.2%,42.9%,7
1993 Stockholm SF,L vs Ivanisevic,22.4%,27.6%,33.3%,26.2%,34.4%,40.6%,28.6%,41.3%,56.3%,37.5%,50.0%,8.7%,13.0%,38.1%,-33
1993 Miami F,L vs Sampras,22.9%,29.2%,41.7%,27.3%,30.8%,42.3%,50.0%,38.8%,10.0%,43.8%,0.0%,14.3%,14.3%,33.3%,-10
1992 US Open R16,L vs Chang,11.9%,26.7%,42.7%,19.6%,17.9%,37.2%,48.4%,31.4%,31.7%,48.6%,33.3%,3.6%,12.7%,35.8%,-79
1992 New Haven F,L vs Edberg,21.4%,32.1%,41.7%,24.3%,39.1%,47.8%,42.9%,46.1%,50.0%,33.3%,33.3%,12.0%,28.0%,40.9%,-79
1992 Canada SF,L vs Agassi,14.8%,25.0%,39.4%,19.7%,23.3%,34.9%,39.4%,33.3%,36.0%,72.2%,66.7%,7.3%,17.1%,39.5%,-43
Career (11 matches),,24.0%,36.6%,45.5%,30.5%,32.5%,49.0%,49.7%,44.3%,42.5%,44.4%,43.6%,15.3%,23.9%,40.8%,1
