Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1996 Wimbledon F,L vs Krajicek,49.4%,61.0%,35.2%,57.1%,20.7%,37.5%,0.0%,20.0%,40.0%,0.0%,-,58,7
1996 Wimbledon SF,W vs Martin,52.0%,61.1%,28.3%,60.6%,29.5%,40.0%,0.0%,18.8%,12.5%,0.0%,-,107,67
1995 Stockholm R16,L vs Edberg,30.1%,54.5%,27.1%,54.8%,11.1%,14.3%,0.0%,11.4%,14.3%,0.0%,-,35,34
1995 Essen F,L vs Muster,15.2%,88.2%,28.0%,63.6%,11.4%,14.7%,11.8%,6.2%,7.7%,1.6%,33.3%,-28,-20
1995 Essen SF,W vs Boetsch,14.3%,71.4%,20.0%,60.0%,12.5%,10.0%,50.0%,0.0%,0.0%,0.0%,-,-49,6
1995 Canada QF,W vs Agassi,3.2%,100.0%,12.9%,80.0%,17.9%,24.0%,20.0%,5.1%,16.7%,1.0%,66.7%,-22,-4
1993 Stockholm SF,L vs Ivanisevic,11.1%,33.3%,19.2%,45.0%,8.7%,7.1%,14.3%,3.3%,0.0%,0.0%,-,-51,-37
1993 Miami F,L vs Sampras,13.6%,66.7%,17.0%,47.4%,20.5%,22.2%,0.0%,0.0%,0.0%,0.0%,-,-48,-37
1992 US Open R16,L vs Chang,7.4%,50.0%,30.6%,51.9%,9.8%,18.8%,0.0%,7.1%,17.6%,0.0%,-,-62,-73
1992 New Haven F,L vs Edberg,17.0%,77.8%,16.1%,55.6%,7.1%,0.0%,0.0%,21.9%,40.0%,0.0%,-,49,-3
1992 Canada SF,L vs Agassi,8.5%,57.1%,17.3%,53.8%,12.0%,9.5%,25.0%,1.8%,8.3%,0.4%,0.0%,31,16
Career (11 matches),,23.6%,62.7%,24.6%,57.7%,13.1%,18.7%,13.3%,7.4%,15.7%,0.4%,40.0%,-5,-8
