Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1994 Wimbledon F,L vs Martinez,48.3%,46.5%,57.0%,49.0%,8.5%,11.1%,4.8%,6.7%,0.0%,1.8%,40.0%,-31,-20
1994 Wimbledon SF,W vs Fernandez,92.0%,62.5%,52.6%,60.4%,33.3%,0.0%,66.7%,44.4%,100.0%,0.0%,-,117,71
1994 Rome F,L vs Martinez,50.0%,52.2%,46.4%,57.1%,11.1%,14.3%,7.1%,7.7%,100.0%,1.5%,0.0%,12,-14
1994 Tokyo F,L vs Graf,72.5%,67.6%,44.0%,62.7%,6.5%,0.0%,0.0%,14.3%,16.7%,0.0%,-,46,69
1993 Zurich F,L vs Maleeva Fragniere,77.6%,61.5%,50.6%,58.8%,18.2%,50.0%,20.0%,10.5%,0.0%,0.6%,0.0%,4,3
1993 Wimbledon SF,L vs Novotna,77.8%,57.1%,50.7%,54.2%,10.0%,25.0%,0.0%,33.3%,50.0%,0.0%,-,80,49
1992 Tour Championships F,L vs Seles,53.6%,37.8%,52.2%,53.6%,11.9%,20.0%,0.0%,7.7%,25.0%,1.3%,0.0%,-15,-24
1992 Wimbledon SF,L vs Seles,76.3%,60.8%,62.4%,59.5%,14.3%,29.4%,0.0%,0.0%,0.0%,1.8%,25.0%,45,39
1991 Virginia Slims Championships F,L vs Seles,80.0%,55.4%,54.8%,57.9%,8.7%,16.7%,0.0%,0.0%,0.0%,0.9%,0.0%,-29,17
1991 US Open F,L vs Seles,88.3%,52.8%,61.3%,49.3%,10.7%,20.0%,0.0%,22.2%,50.0%,1.0%,0.0%,23,40
1991 US Open SF,W vs Graf,88.1%,64.0%,54.6%,63.2%,29.4%,0.0%,23.1%,22.2%,0.0%,1.2%,0.0%,71,77
1990 Manhattan Beach F,L vs Seles,63.5%,52.5%,51.7%,55.6%,15.4%,23.8%,0.0%,0.0%,0.0%,1.8%,25.0%,35,84
1990 Wimbledon F,W vs Garrison,100.0%,72.5%,60.7%,70.3%,35.7%,60.0%,0.0%,50.0%,0.0%,0.0%,-,111,84
1990 Wimbledon SF,W vs Sabatini,87.3%,68.8%,41.5%,66.1%,66.7%,80.0%,100.0%,20.0%,0.0%,0.0%,-,154,135
1990 Rome F,L vs Seles,36.8%,42.9%,30.4%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,3.9%,20.0%,-82,-50
1990 Hilton Head F,W vs Capriati,64.6%,71.4%,43.5%,70.0%,12.2%,14.3%,9.1%,8.3%,0.0%,1.6%,0.0%,32,57
1990 Chicago F,W vs Maleeva Fragniere,85.0%,73.5%,55.2%,71.7%,17.9%,0.0%,8.3%,12.5%,0.0%,2.0%,0.0%,72,73
1989 WTA Tour Championships F,L vs Graf,67.5%,55.4%,51.1%,59.6%,12.8%,18.2%,7.1%,20.0%,0.0%,0.0%,-,0,11
1989 US Open F,L vs Graf,70.4%,64.9%,50.9%,59.8%,6.0%,20.0%,0.0%,16.7%,50.0%,0.0%,-,-35,18
1989 US Open SF,W vs Garrison,76.7%,67.9%,55.6%,65.8%,46.7%,100.0%,25.0%,60.0%,100.0%,0.0%,-,119,107
Career (71 matches),,69.9%,61.9%,51.4%,61.1%,11.8%,22.0%,6.5%,13.1%,25.1%,1.6%,22.8%,7,19
