Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,421,361,60,85.7%,722-154,82.4%,4911-2622,65.2%,41-25,62.1%,0,,,,,,,,,,,
Clay,309,249,60,80.6%,504-152,76.8%,3554-2116,62.7%,32-12,72.7%,1,-,-,2.0%,6.1%,55.1%,55.6%,36.4%,46.9%,35.7%,41.0%,0.67
Grass,356,314,42,88.2%,617-132,82.4%,4198-2254,65.1%,37-11,77.1%,2,-,-,0.8%,2.3%,67.9%,68.5%,54.8%,64.1%,45.5%,55.6%,1.27
Carpet,629,553,76,87.9%,1092-202,84.4%,7258-3747,66.0%,65-29,69.1%,0,,,,,,,,,,,
Grand Slams,355,306,49,86.2%,619-137,81.9%,4254-2248,65.4%,32-20,61.5%,3,-,-,1.1%,3.3%,64.4%,65.5%,48.4%,59.4%,42.3%,51.1%,1.04
Premiers,11,8,3,72.7%,18-8,69.2%,132-89,59.7%,0-0,-,0,,,,,,,,,,,
Internationals,1,0,1,0.0%,1-2,33.3%,11-16,40.7%,0-0,-,0,,,,,,,,,,,
Finals,252,176,76,69.8%,372-174,68.1%,2814-2043,57.9%,31-24,56.4%,0,,,,,,,,,,,
Semi-finals,299,246,53,82.3%,479-145,76.8%,3393-2184,60.8%,51-21,70.8%,0,,,,,,,,,,,
Quarter-finals,321,275,46,85.7%,544-124,81.4%,3729-2105,63.9%,35-17,67.3%,0,,,,,,,,,,,
vs Righties,1194,991,203,83.0%,1982-520,79.2%,13750-7957,63.3%,124-62,66.7%,3,-,-,1.1%,3.3%,64.4%,65.5%,48.4%,59.4%,42.3%,51.1%,1.04
vs Lefties,110,92,18,83.6%,181-50,78.4%,1265-763,62.4%,16-6,72.7%,0,,,,,,,,,,,
vs Top 10,214,162,52,75.7%,328-133,71.1%,2430-1671,59.3%,36-18,66.7%,0,,,,,,,,,,,
