Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),,,294,1473,,,237,1466,240,1374,,,,
2025,593,63,297,1473,295,1421,234,1466,236,1374,,,,
2024,127,472,158,1610,195,1507,125,1600,213,1423,1402,16,,
2023,228,276,210,1532,250,1443,169,1525,220,1390,,,,
2022,137,404,140,1638,181,1524,104,1629,175,1455,,,,
2021,149,452,166,1588,202,1494,133,1581,195,1446,,,,
2020,131,498,142,1591,185,1476,111,1589,,,412,108,,
2019,139,379,127,1646,195,1504,85,1650,162,1482,392,108,,
2018,85,638,130,1643,160,1539,88,1646,147,1498,332,108,,
2017,165,335,210,1528,241,1438,162,1529,171,1454,280,208,,
2016,117,501,176,1569,192,1499,138,1563,168,1473,,,,
2015,259,203,256,1459,333,1296,182,1496,233,1379,441,140,,
2014,202,243,235,1490,265,1387,194,1489,,,793,47,,
2013,339,126,330,1345,,,306,1334,230,1347,1148,18,,
2012,333,131,,,,,,,,,503,107,,
2011,413,92,,,,,,,,,493,104,,
2010,1517,1,,,,,,,,,,,,
