Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,4,1,3,25.0%,2-6,25.0%,32-49,39.5%,1-1,50.0%,0,,,,,,,,,,,,
2022,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,,
2019,4,1,3,25.0%,4-6,40.0%,42-53,44.2%,0-0,-,4,50.0%,36.7%,5.1%,8.6%,52.2%,61.0%,40.7%,51.3%,44.6%,47.9%,0.92,R16 (Jurmala)
2017,4,1,3,25.0%,4-6,40.0%,36-46,43.9%,0-0,-,4,55.0%,35.7%,4.9%,6.1%,51.1%,60.0%,42.6%,51.5%,43.6%,47.4%,0.90,
2016,3,0,3,0.0%,1-6,14.3%,25-38,39.7%,0-0,-,0,,,,,,,,,,,,
2015,1,0,1,0.0%,1-2,33.3%,6-14,30.0%,0-0,-,0,,,,,,,,,,,,
2014,5,2,3,40.0%,5-6,45.5%,49-47,51.0%,0-0,-,1,-,-,10.9%,7.3%,54.5%,73.3%,28.0%,52.7%,36.7%,44.3%,0.78,
2013,4,2,2,50.0%,4-5,44.4%,38-43,46.9%,0-0,-,0,,,,,,,,,,,,
2012,4,2,2,50.0%,4-5,44.4%,36-43,45.6%,0-0,-,0,,,,,,,,,,,,
2010,4,1,3,25.0%,4-6,40.0%,45-50,47.4%,0-0,-,0,,,,,,,,,,,,
Career,34,10,24,29.4%,29-50,36.7%,314-395,44.3%,1-1,50.0%,9,52.3%,36.3%,5.5%,7.4%,52.0%,61.7%,40.5%,51.5%,43.5%,47.4%,0.90,
