Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2018 Roland Garros Q2,L vs Zidansek,7.9%,13.2%,43.5%,9.6%,17.3%,46.8%,40.9%,70.0%,57.1%,4.3%,4.3%,36.4%,20.0%,100.0%,100.0%,-71
Career (1 matches),,7.9%,13.2%,43.5%,9.6%,17.3%,46.8%,40.9%,70.0%,57.1%,4.3%,4.3%,36.4%,20.0%,100.0%,100.0%,-71
