Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,1,0,1,0.0%,0-2,0.0%,7-13,35.0%,0-0,-,1,20.0%,50.0%,0.0%,7.1%,57.1%,43.8%,29.2%,37.5%,51.6%,45.0%,0.83,R32 (Midland 125)
2025,46,31,15,67.4%,67-41,62.0%,543-452,54.6%,7-2,77.8%,44,61.7%,49.5%,2.5%,6.7%,57.4%,63.9%,44.1%,55.5%,50.4%,52.9%,1.13,W (2x)
2024,28,12,16,42.9%,30-34,46.9%,295-297,49.8%,2-6,25.0%,10,52.1%,36.7%,3.6%,7.8%,53.9%,55.3%,45.6%,50.8%,45.2%,48.0%,0.92,SF (W75 Lexington KY)
2023,31,17,14,54.8%,40-36,52.6%,363-347,51.1%,4-8,33.3%,19,62.2%,43.8%,1.7%,4.4%,61.4%,61.9%,45.2%,55.5%,46.5%,51.0%,1.05,F (Reus 125)
2022,44,30,14,68.2%,63-31,67.0%,491-358,57.8%,1-4,20.0%,5,54.9%,26.9%,1.5%,4.3%,51.7%,60.0%,46.5%,53.5%,40.3%,46.6%,0.87,W (3x)
2021,34,20,14,58.8%,44-37,54.3%,387-332,53.8%,0-3,0.0%,0,,,,,,,,,,,,W (2x)
2020,3,1,2,33.3%,2-5,28.6%,27-38,41.5%,1-0,100.0%,0,,,,,,,,,,,,R16 (W15 Cancun)
2019,30,22,8,73.3%,44-21,67.7%,337-264,56.1%,0-3,0.0%,0,,,,,,,,,,,,W (2x)
2018,5,3,2,60.0%,7-5,58.3%,53-53,50.0%,2-0,100.0%,0,,,,,,,,,,,,SF (Curtea de Arges $15K)
2017,1,0,1,0.0%,0-2,0.0%,2-12,14.3%,0-0,-,0,,,,,,,,,,,,R32 (Stare Splavy $25K)
2016,3,1,2,33.3%,2-4,33.3%,17-31,35.4%,0-0,-,0,,,,,,,,,,,,R16 (Charleston SC $10K)
Career,226,137,89,60.6%,299-218,57.8%,2522-2197,53.4%,17-26,39.5%,79,59.9%,45.2%,2.3%,6.1%,57.8%,62.1%,44.6%,54.7%,48.2%,51.4%,1.06,
