Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Clay,5,4,1,80.0%,8-3,72.7%,56-29,65.9%,0-0,-,5,67.4%,64.3%,1.1%,3.7%,60.3%,59.6%,53.8%,57.3%,54.8%,56.1%,1.28
Finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,44.4%,12.5%,0.0%,4.9%,57.4%,42.9%,53.8%,47.5%,29.8%,39.8%,0.57
Semi-finals,1,1,0,100.0%,2-1,66.7%,15-11,57.7%,0-0,-,1,53.8%,61.5%,0.0%,1.4%,68.1%,53.1%,47.8%,51.4%,53.8%,52.7%,1.11
Quarter-finals,1,1,0,100.0%,2-0,100.0%,12-1,92.3%,0-0,-,1,85.7%,100.0%,0.0%,4.0%,52.0%,65.4%,54.2%,60.0%,73.7%,65.9%,1.84
vs Righties,2,1,1,50.0%,2-3,40.0%,20-23,46.5%,0-0,-,2,50.0%,42.9%,0.0%,3.0%,63.2%,48.8%,51.0%,49.6%,44.8%,47.3%,0.89
