Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Mallorca 125 SF,L vs Sierra,46% (6/13),100% (1/1),0/1,0/0,69% (9/13),1/3,0/1,- (0/0),- (0/0)
2021 Strasbourg R32,L vs Andreescu,60% (3/5),0% (0/1),0/0,0/0,29% (2/7),2/4,2/3,- (0/0),- (0/0)
2019 W25 Calvi R16,W vs Georges,70% (7/10),67% (6/9),2/3,1/2,33% (2/6),0/0,0/0,- (0/0),- (0/0)
2019 W25 Calvi R32,W vs Cascino,100% (5/5),64% (7/11),2/2,1/1,43% (3/7),1/1,0/0,60% (3/5),67% (4/6)
2019 W25 Campinas R32,L vs Pedretti,55% (6/11),20% (1/5),0/0,0/0,25% (1/4),0/2,0/1,67% (4/6),17% (1/6)
2019 W25 Curitiba R32,L vs Paquet,73% (11/15),38% (3/8),1/3,0/0,76% (13/17),1/3,1/2,- (0/0),- (0/0)
2019 W15 Monastir F,L vs Lesniak,60% (3/5),23% (3/13),1/5,0/0,13% (1/8),2/4,0/1,- (0/0),- (0/0)
2019 W15 Monastir SF,W vs Temin,45% (9/20),63% (5/8),2/6,1/4,33% (2/6),0/1,0/0,- (0/0),- (0/0)
2019 W15 Monastir R16,W vs Remy,75% (6/8),60% (6/10),2/3,1/2,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2019 W15 Monastir R32,W vs Hill,53% (9/17),43% (9/21),2/6,1/3,56% (9/16),0/1,0/0,42% (5/12),54% (7/13)
2019 W25 Plantation FL R32,W vs Burillo Escorihuela,62% (8/13),27% (4/15),2/7,1/1,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2017 Hammamet $15K F,L vs Mendez,36% (4/11),43% (3/7),1/1,0/0,61% (11/18),1/3,1/2,- (0/0),- (0/0)
2017 Hammamet $15K SF,W vs Hofer,57% (8/14),67% (6/9),2/2,1/1,60% (6/10),0/1,0/0,- (0/0),- (0/0)
2017 Hammamet $15K QF,W vs Turati,86% (6/7),67% (6/9),2/3,1/1,78% (7/9),0/0,0/0,- (0/0),- (0/0)
2017 Hammamet $15K R16,W vs Panfilov,50% (4/8),50% (8/16),2/5,1/3,38% (3/8),0/0,0/0,- (0/0),- (0/0)
2013 Lleida 10K QF,L vs Cervera Vazquez,30% (3/10),17% (1/6),0/0,0/0,55% (6/11),1/3,1/2,- (0/0),- (0/0)
2013 Valladolid 10K F,W vs Rosatello,64% (9/14),67% (6/9),2/4,1/2,57% (4/7),0/1,0/0,- (0/0),- (0/0)
2013 Valladolid 10K R16,W vs Prats Millan,42% (5/12),64% (7/11),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2013 Valladolid 10K R32,W vs Leweurs,63% (10/16),40% (4/10),2/2,1/1,75% (6/8),1/2,0/0,- (0/0),- (0/0)
2013 Girona 10K R32,L vs Sussarello,80% (4/5),13% (1/8),0/0,0/0,44% (4/9),0/2,0/1,- (0/0),- (0/0)
2025 (1 matches),,46.2%,100.0%,0.0%,-,69.2%,33.3%,0.0%,-,-
2021 (1 matches),,60.0%,0.0%,-,-,28.6%,50.0%,66.7%,-,-
2019 (9 matches),,61.5%,44.0%,40.0%,46.2%,48.6%,33.3%,25.0%,52.2%,48.0%
2017 (4 matches),,55.0%,56.1%,63.6%,60.0%,60.0%,25.0%,50.0%,-,-
2013 (7 matches),,54.2%,51.7%,72.7%,66.7%,54.8%,35.7%,40.0%,-,-
Career (26 matches),,57.8%,48.8%,50.8%,54.2%,52.1%,34.7%,38.1%,52.2%,48.0%
