Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Australian Open R32,L vs Alcaraz,14.0%,26.9%,41.3%,22.7%,15.8%,31.6%,43.8%,30.0%,12.5%,39.4%,60.0%,12.9%,22.6%,37.0%,4
2025 Almaty F,L vs Medvedev,13.5%,29.2%,53.0%,24.1%,17.4%,36.2%,56.1%,32.0%,20.0%,53.8%,80.0%,3.7%,11.1%,46.2%,-79
2025 Almaty R32,W vs Tomic,28.6%,39.3%,57.9%,37.0%,36.5%,50.0%,63.6%,50.2%,26.3%,45.5%,33.3%,17.2%,24.1%,50.0%,54
2025 Mallorca F,L vs Griekspoor,35.6%,53.4%,54.3%,42.6%,43.5%,63.0%,53.8%,54.6%,14.3%,36.0%,0.0%,23.1%,38.5%,55.0%,-23
2025 Mallorca SF,W vs Michelsen,31.6%,43.4%,49.0%,37.2%,37.3%,47.1%,50.0%,45.7%,33.3%,72.7%,85.7%,20.8%,37.5%,47.4%,-19
2025 Queens Club R16,L vs Fearnley,23.1%,30.8%,46.6%,32.4%,31.4%,41.2%,51.4%,45.7%,47.8%,57.1%,50.0%,8.0%,12.0%,39.1%,-37
2025 Rome R32,W vs Rune,23.0%,32.7%,56.6%,29.6%,29.7%,45.3%,68.9%,41.3%,19.2%,44.7%,100.0%,15.6%,17.8%,42.1%,39
2025 Phoenix CH QF,L vs Bublik,17.9%,24.1%,52.3%,23.9%,23.6%,29.2%,52.7%,33.1%,21.4%,20.5%,0.0%,8.3%,16.7%,51.5%,-36
2025 Buenos Aires R16,L vs Musetti,13.0%,28.3%,50.0%,22.2%,15.6%,34.4%,51.9%,28.8%,33.3%,82.4%,100.0%,8.3%,16.7%,45.5%,-39
2025 Australian Open R32,L vs Tien,16.8%,25.2%,49.4%,22.2%,18.4%,28.9%,51.6%,26.1%,19.4%,28.9%,14.3%,16.7%,20.0%,44.0%,16
2024 Roland Garros R16,L vs Sinner,12.1%,24.2%,41.2%,17.9%,14.1%,26.8%,47.5%,22.1%,25.0%,69.2%,100.0%,7.7%,19.2%,25.0%,-39
2024 Rome R64,L vs Djokovic,18.6%,22.0%,31.3%,22.4%,20.0%,24.4%,33.3%,24.9%,31.8%,60.9%,71.4%,14.3%,14.3%,25.0%,-79
2024 Madrid R128,L vs Shang,20.1%,28.6%,49.6%,27.5%,24.5%,36.7%,52.7%,36.1%,47.7%,40.7%,50.0%,12.5%,14.3%,44.9%,-79
2024 Santiago SF,L vs Tabilo,22.1%,34.7%,52.1%,32.2%,25.4%,43.3%,64.0%,39.7%,39.4%,67.6%,100.0%,14.8%,14.8%,26.1%,-25
2023 Halle R32,L vs Jarry,39.1%,40.6%,41.0%,41.7%,51.4%,54.3%,41.2%,56.3%,28.6%,52.4%,66.7%,24.1%,24.1%,40.9%,-79
2022 Paris R16,L vs Tsitsipas,19.4%,34.3%,62.7%,31.5%,25.0%,45.5%,66.7%,43.4%,33.3%,52.2%,66.7%,10.0%,15.0%,55.6%,-22
2022 Orleans CH R16,L vs Andreev,25.5%,36.4%,51.9%,31.8%,32.9%,44.3%,51.1%,42.9%,11.8%,61.1%,50.0%,13.5%,24.3%,53.1%,19
2022 US Open R16,L vs Ruud,18.8%,28.2%,48.9%,26.7%,18.4%,31.6%,48.4%,30.5%,20.0%,53.7%,44.4%,20.0%,22.5%,50.0%,-42
2022 US Open R64,W vs Van De Zandschulp,13.9%,25.2%,56.4%,23.0%,12.7%,26.8%,61.3%,27.3%,13.3%,61.0%,66.7%,17.9%,25.6%,46.9%,57
2020 Roland Garros R128,L vs Giustino,14.9%,21.4%,57.1%,20.2%,16.3%,24.2%,60.9%,23.8%,7.4%,62.4%,42.9%,11.5%,14.8%,48.1%,-55
Career (31 matches),,19.8%,30.6%,51.2%,27.3%,23.1%,36.6%,54.9%,34.5%,25.9%,52.6%,57.4%,15.0%,21.0%,43.9%,31
