Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R32,L vs Alcaraz,14.0%,76.9%,18.2%,70.0%,13.1%,20.0%,8.3%,6.7%,25.0%,8.4%,23.8%,-12,-22
2025 Almaty F,L vs Medvedev,17.0%,75.0%,24.2%,63.0%,12.0%,32.3%,0.0%,5.1%,0.0%,3.4%,6.7%,-93,-96
2025 Almaty R32,W vs Tomic,12.7%,70.0%,26.2%,74.4%,20.4%,28.0%,10.5%,35.7%,66.7%,5.0%,12.5%,-61,-27
2025 Mallorca F,L vs Griekspoor,6.0%,100.0%,7.1%,72.7%,28.0%,35.7%,0.0%,23.1%,20.0%,5.4%,55.6%,40,42
2025 Mallorca SF,W vs Michelsen,11.1%,75.0%,18.2%,59.3%,22.6%,27.8%,16.7%,26.3%,33.3%,3.7%,0.0%,11,24
2025 Queens Club R16,L vs Fearnley,12.0%,77.8%,14.5%,78.3%,10.0%,15.4%,0.0%,11.1%,16.7%,7.3%,31.3%,-27,-22
2025 Rome R32,W vs Rune,0.9%,100.0%,12.1%,73.3%,13.1%,23.3%,14.8%,6.7%,0.0%,5.9%,22.2%,-85,-57
2025 Phoenix CH QF,L vs Bublik,4.6%,80.0%,19.0%,66.7%,16.3%,23.5%,3.8%,9.8%,20.0%,4.2%,18.8%,-47,-44
2025 Buenos Aires R16,L vs Musetti,8.7%,75.0%,17.5%,55.6%,5.9%,0.0%,5.0%,2.7%,16.7%,6.7%,13.3%,-66,-71
2025 Australian Open R32,L vs Tien,1.0%,0.0%,7.0%,60.0%,11.7%,15.4%,0.0%,13.2%,37.5%,4.9%,14.3%,-51,-51
2024 Roland Garros R16,L vs Sinner,2.0%,0.0%,6.7%,46.2%,14.3%,22.9%,4.0%,6.3%,12.5%,8.3%,27.3%,-20,-34
2024 Rome R64,L vs Djokovic,5.1%,66.7%,13.9%,50.0%,6.1%,15.0%,0.0%,4.2%,0.0%,6.4%,30.8%,-61,-61
2024 Madrid R128,L vs Shang,0.7%,0.0%,13.1%,60.5%,10.9%,10.0%,13.6%,3.1%,25.0%,5.4%,26.7%,-57,-56
2024 Santiago SF,L vs Tabilo,9.9%,77.8%,19.2%,79.4%,9.8%,10.4%,3.2%,7.1%,50.0%,3.8%,18.2%,-5,-4
2023 Halle R32,L vs Jarry,6.8%,75.0%,7.5%,80.0%,13.5%,14.3%,50.0%,28.6%,0.0%,2.5%,0.0%,-87,-110
2022 Paris R16,L vs Tsitsipas,3.1%,100.0%,10.4%,84.6%,19.1%,33.3%,10.0%,3.2%,0.0%,4.6%,44.4%,4,9
2022 Orleans CH R16,L vs Andreev,5.8%,83.3%,13.5%,71.9%,11.6%,18.2%,0.0%,6.1%,11.1%,1.2%,16.7%,-80,-53
2022 US Open R16,L vs Ruud,6.2%,28.6%,13.0%,54.8%,15.1%,34.9%,3.6%,2.9%,7.1%,2.8%,8.3%,-15,-31
2022 US Open R64,W vs Van De Zandschulp,8.0%,66.7%,14.9%,72.7%,7.2%,14.3%,5.0%,21.7%,57.1%,3.8%,25.0%,-29,-45
2020 Roland Garros R128,L vs Giustino,0.9%,0.0%,9.6%,63.6%,9.6%,20.9%,2.2%,1.7%,5.4%,3.2%,34.1%,-69,-75
Career (31 matches),,4.9%,71.4%,12.4%,68.8%,12.4%,19.6%,5.9%,6.0%,15.0%,4.0%,24.5%,-46,-41
